,Author,Affiliation,Publication Date,Journal Title,Title,URL
0,Ayşe İmrohoroğlu; Antonio Merlo; Peter Rupert,"University of Southern California, U.S.A.,; New York University, U.S.A.,; Federal Reserve Bank of Cleveland, U.S.A.",2000/02/01,International Economic Review,On the Political Economy of Income Redistribution and Crime,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00053
1,Francis Bloch; Harl Ryder,"IRES, Université Catholique de Louvain, Belgium,; Brown University, U.S.A.",2000/02/01,International Economic Review,"Two-Sided Search, Marriages, and Matchmakers",https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00056
2,John K. Dagsvik,"Statistics Norway, Norway",2000/02/01,International Economic Review,Aggregation in Matching Markets,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00054
3,Michael Smart,"University of Toronto, Canada",2000/02/01,International Economic Review,Competitive Insurance Markets with Two Unobservables,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00059
4,Michael A. Arnold,"University of Delaware, U.S.A.",2000/02/01,International Economic Review,"Costly Search, Capacity Constraints, and Bertrand Equilibrium Price Dispersion",https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00057
5,Huw Lloyd-Ellis,,2000/02/01,International Economic Review,"Public Education, Occupational Choice, and the Growth-Inequality Relationship",https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00060
6,Harry J. Paarsch; Bruce Shearer,"University of Iowa, U.S.A.,; Université Laval, Canada",2000/02/01,International Economic Review,"Piece Rates, Fixed Wages, and Incentive Effects: Statistical Evidence from Payroll Records",https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00055
7,Jacques Olivier,,2000/02/01,International Economic Review,Growth-Enhancing Bubbles,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00058
8,Yasushi Iwamoto; Eric Van Wincoop,"Institute of Economic Research, Kyoto University, Japan,; Federal Reserve Bank of New York, U.S.A.",2000/02/01,International Economic Review,Do Borders Matter? Evidence from Japanese Regional Net Capital Flows,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00063
9,Micael Castanheira; Gérard Roland,"IGIER, Bocconi University, Italy, and CEPR,; ECARE, Université Libre de Bruxelles, and CEPR, Belgium",2000/02/01,International Economic Review,The Optimal Speed of Transition: A General Equilibrium Analysis,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00062
10,Ila M. Semenick Alam; Robin C. Sickles,"Tulane University, U.S.A.,; Rice University, U.S.A.",2000/02/01,International Economic Review,Time Series Analysis of Deregulatory Dynamics and Technical Efficiency: The Case of the U.S. Airline Industry,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00061
11,Christian Bontemps; Jean-Marc Robin; Gerard J. Van Den Berg,"Inra-corela and crest-insee, France,; Free University of Amsterdam, Tinbergen Institute,; CEPR, Netherlands",2000/05/01,International Economic Review,Equilibrium Search with Continuous Productivity Dispersion: Theory and Nonparametric Estimation,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00066
12,Charles E. Hyde; Gordon C. Rausser; Leo K. Simon,"University of Melbourne, Australia, and University of California at Berkeley, USA; University of Melbourne, Australia, and University of California at Berkeley, USA; University of Melbourne, Australia, and University of California at Berkeley, USA",2000/05/01,International Economic Review,Regulating Multiple Polluters: Deterrence and Liability Allocation,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00073
13,Hongmo Sung; Harvey E. Lapan,"Kyongju University, South Korea,; Iowa State University, USA",2000/05/01,International Economic Review,Strategic Foreign Direct Investment and Exchange-Rate Uncertainty,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00069
14,Joel Sobel,"Department of Economics, University of California, USA",2000/05/01,International Economic Review,A Model of Declining Standards,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00065
15,Antonio Cabrales,"Universitat Pompeu Fabra, Spain",2000/05/01,International Economic Review,Stochastic Replicator Dynamics,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00071
16,Todd R. Kaplan; David Wettstein,"Ben-Gurion University of the Negev, Israel; Ben-Gurion University of the Negev, Israel",2000/05/01,International Economic Review,Surplus Sharing with a Two-Stage Mechanism,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00068
17,Roger Lagunoff,"Georgetown University, U.SA",2000/05/01,International Economic Review,On the Evolution of Pareto-Optimal Behavior in Repeated Coordination Problems,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00064
18,,,2000/05/01,International Economic Review,Books Received,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00075
19,Coen N. Teulings,"Tinbergen Institute and Erasmus University, Netherlands",2000/05/01,International Economic Review,Aggregation Bias in Elasticities of Substitution and the Minimum Wage Paradox,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00067
20,Carsten Kowalczyk,"Tufts University, USA",2000/05/01,International Economic Review,Welfare and Integration,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00072
21,Arijit Sen,"Indian Statistical Institute, India",2000/05/01,International Economic Review,Multidimensional Bargaining Under Asymmetric Information,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00070
22,Cheng Hsiao; Q. Kevin Wang,"University of Southern California, Los Angeles, USA, National Taiwan University, Taiwan, and University of Toronto, Canada; University of Southern California, Los Angeles, USA, National Taiwan University, Taiwan, and University of Toronto, Canada",2000/05/01,International Economic Review,Estimation of Structural Nonlinear Errors-in-Varibles Models by Simulated Least-Squares Method,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00074
23,Valerie R. Bencivenga; Bruce D. Smith; Ross M. Starr,"University of Texas at Austin, USA,; Federal Reserve Bank of Cleveland, USA,; University of California, San Diego, USA",2000/08/01,International Economic Review,"Secondary Capital Markets, Long-Run Growth, and the Term Structure of Asset Yields",https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00083
24,José De Gregorio; Se-Jik Kim,"Universidad de Chile, Chile,; International Monetary Fund, USA",2000/08/01,International Economic Review,"Credit Markets With Differences in Abilities: Education, Distribution, and Growth",https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00077
25,Tracy R. Lewis; David E. M. Sappington,"University of Florida, USA; University of Florida, USA",2000/08/01,International Economic Review,Contracting With Wealth-Constrained Agents,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00082
26,Sudipto Dasgupta; Zhigang Tao,"Hong Kong University of Science and Technology, Hong Kong,; The University of Hong Kong, Hong Kong",2000/08/01,International Economic Review,"Bargaining, Bonding, and Partial Ownership",https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00078
27,Christopher J. Flinn,"New York University, USA",2000/08/01,International Economic Review,Modes of Interaction Between Divorced Parents,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00076
28,Mary M. Margiotta; Robert A. Miller,"A. T. Kearney, USA,; Carnegie Mellon University, USA",2000/08/01,International Economic Review,Managerial Compensation and the Cost of Moral Hazard,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00080
29,Douglas W. Elmendorf; Miles S. Kimball,"Federal Reserve Board, USA,; University of Michigan, USA",2000/08/01,International Economic Review,Taxation of Labor Income and the Demand for Risky Assets,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00084
30,,,2000/08/01,International Economic Review,Publications Received,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00085
31,Holger Sieg,"Duke University, USA",2000/08/01,International Economic Review,Estimating a Dynamic Model of Household Choices in the Presence of Income Taxation,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00079
32,Simon P. Anderson; Régis Renault,"University of Virginia, USA,; Université de Caen, France",2000/08/01,International Economic Review,Consumer Information and Firm Pricing: Negative Externalities from Improved Information,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00081
33,,,2000/11/01,International Economic Review,Publications Received,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00097
34,Gianni De Fraja; Abhinay Muthoo,"University of York, CEPI,; University of Essex, United Kingdom",2000/11/01,International Economic Review,Equilibrium Partner Switching in a Bargaining Model With Asymmetric Information,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00087
35,Arvind Panagariya; Hirofumi Shibata,"University of Maryland, U.S.A.,; Ritsumeikan University, Japan",2000/11/01,International Economic Review,Defense and Welfare Under Rivalry,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00091
36,Pierre Picard,"University of Paris and CEPREMAP, France",2000/11/01,International Economic Review,On the Design of Optimal Insurance Policies Under Manipulation of Audit Cost,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00095
37,Rim Lahmandi-Ayed,"University of Paris, France",2000/11/01,International Economic Review,Natural Oligopolies: A Vertical Differentiation Model,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00092
38,Michael Kaganovich,"Indiana University, U.S.A.",2000/11/01,International Economic Review,Decentralization of Intertemporal Economies With Discounted Maximin Criterion,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00094
39,Insan Tunali,"Koç University, Turkey",2000/11/01,International Economic Review,Rationality of Migration,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00089
40,Tilman Börgers; Rajiv Sarin,"University College London, U.K.,; Texas A&M University, U.S.A.",2000/11/01,International Economic Review,Naive Reinforcement Learning With Endogenous Aspirations,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00090
41,Qi Li,"Texas A&M University, U.S.A., and University of Guelph, Canada",2000/11/01,International Economic Review,Efficient Estimation of Additive Partially Linear Models,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00096
42,Curtis R. Taylor,"Texas A&M University, U.S.A.",2000/11/01,International Economic Review,The Old-Boy Network and the Young-Gun Effect,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00088
43,Hans Haller,"Virginia Polytechnic Institute, U.S.A.",2000/11/01,International Economic Review,Household Decisions and Equilibrium Efficiency,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00086
44,,,2000/11/01,International Economic Review,Index,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00098
45,Ian L. Gale; Donald B. Hausch; Mark Stegeman,"Georgetown University, U.S.A.,; University of Wisconsin, U.S.A.,; Virginia Polytechnic Institute, U.S.A.",2000/11/01,International Economic Review,Sequential Procurement With Subcontracting,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00093
46,Robert G. Chambers,"University of Maryland, USA.; University of Western Australia",2001/02/01,International Economic Review,Consumers' Surplus As an Exact and Superlative Cardinal Welfare Indicator,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00102
47,Ignacio Lobato; John C. Nankervis; N. E. Savin,"Instituto Tecnologico Autonomo de Mexico, Mexico,; University of Surrey, UK,; University of Iowa, USA",2001/02/01,International Economic Review,Testing for Autocorrelation Using a Modified Box-Pierce Q Test,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00106
48,Robert Driskill; Stephen McCafferty,"Vanderbilt University USA.,; The Ohio State University, USA.",2001/02/01,International Economic Review,Monopoly and Oligopoly Provision of Addictive Goods,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00100
49,Yoshiyasu Ono,"Osaka University, Japan",2001/02/01,International Economic Review,A Reinterpretation of Chapter 17 of Keynes's general Theory: Effective Demand Shortage Under Dynamic Optimization,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00107
50,Tarek M. Harchaoui; Pierre Lasserre,Statistics Canada; Université du Québec à Montréal; Statistics Canada; Université du Québec à Montréal,2001/02/01,International Economic Review,Testing the Option Value Theory of Irreversible Investment,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00104
51,Pierre-François Koehl; Bertrand Villeneuve,"Caisse des Dépo^ts et Consignations, Commissariat l'Energie Atomique at the University of Toulouse; Caisse des Dépo^ts et Consignations, Commissariat l'Energie Atomique at the University of Toulouse",2001/02/01,International Economic Review,Complementarity and Substituability in Multiple-Risk Insurance Markets,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00109
52,Arnold Zellner; Justin Tobias,"University of Chicago, USA,; University of California, USA",2001/02/01,International Economic Review,Further Results on Bayesian Method of Moments Analysis of the Multiple Regression Model,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00103
53,Masaya Sakuragawa; Koichi Hamada,"Nagoya City University, Japan,; Yale University, USA.",2001/02/01,International Economic Review,"Capital Flight, North-South Lending, and Stages of Economic Development",https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00098
54,Gary Koop,"University of Glasgow, Scotland",2001/02/01,International Economic Review,Cross-Sectoral Patterns of Efficiency and Technical Change in Manufacturing,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00101
