Author,Affiliation,Publication Date,Journal Title,Title,Volume,URL,,,,,,
"?ötelio?lu, Efe; Franzoni, Francesco; Plazzi, Alberto",Universit? della Svizzera italiana and Swiss Finance Institute; Universit? della Svizzera italiana and Swiss Finance Institute    Center for Economic Policy Research; Universit? della Svizzera italiana and Swiss Finance Institute,2020/7/9,Review of Finance,What Constrains Liquidity Provision? Evidence from Institutional Trades*,25,https://academic.oup.com/rof/article/25/2/485/5869448,,,,,,
"Abedifar, Pejman; Molyneux, Philip; Tarazi, Amine","Université de Limoges, LAPE, Limoges, France; Bangor University; Université de Limoges, LAPE, Limoges, France; Bangor University; Université de Limoges, LAPE, Limoges, France; Bangor University",2013/1/10,Review of Finance,Risk in Islamic Banking*,17,https://academic.oup.com/rof/article/17/6/2035/1590691,,,,,,
"Abudy, Menachem Meni; Wohl, Avi",Bar-Ilan University and; Tel Aviv University,2017/11/27,Review of Finance,Corporate Bond Trading on a Limit Order Book Exchange*,22,https://academic.oup.com/rof/article/22/4/1413/4665134,,,,,,
"Acharya, Viral V.; Merrouche, Ouarda","NYU-Stern, CEPR and NBER and World Bank; NYU-Stern, CEPR and NBER and World Bank",2012/6/28,Review of Finance,Precautionary Hoarding of Liquidity and Interbank Markets: Evidence from the Subprime Crisis*,17,https://academic.oup.com/rof/article/17/1/107/1582216,,,,,,
"Acker, Daniella; Duck, Nigel W.","School of Economics, Finance, and Management, University of Bristol; School of Economics, Finance, and Management, University of Bristol",2012/3/14,Review of Finance,Do Investors Suffer from Money Illusion? A Direct Test of the Modigliani?�Cohn Hypothesis*,17,https://academic.oup.com/rof/article/17/2/565/1598296,,,,,,
"Ackert, Lucy F.; Church, Bryan K.; Qi, Li","Kennesaw State University,; Scheller College of Business, Georgia Tech, and; Agnes Scott College",2015/8/13,Review of Finance,An Experimental Examination of Portfolio Choice*,20,https://academic.oup.com/rof/article/20/4/1427/1752889,,,,,,
"Addoum, Jawad M; Kumar, Alok; Le, Nhan; Niessen-Ruenzi, Alexandra",Cornell University; University of Miami; Australian National University; University of Mannheim,2019/12/16,Review of Finance,Local Bankruptcy and Geographic Contagion in the Bank Loan Market*,24,https://academic.oup.com/rof/article/24/5/997/5678797,,,,,,
"Adriani, Fabrizio; Deidda, Luca G.; Sonderegger, Silvia","Department of Economics, University of Leicester, Universit? di Sassari and CRENoS, Defims, School of Oriental and African Studies and School of Economics, University of Nottingham, and CeDEx; Department of Economics, University of Leicester, Universit? di Sassari and CRENoS, Defims, School of Oriental and African Studies and School of Economics, University of Nottingham, and CeDEx; Department of Economics, University of Leicester, Universit? di Sassari and CRENoS, Defims, School of Oriental and African Studies and School of Economics, University of Nottingham, and CeDEx",2013/9/11,Review of Finance,How do Financial Intermediaries Create Value in Security Issues?*,18,https://academic.oup.com/rof/article/18/5/1915/1573570,,,,,,
"Adämmer, Philipp; Schüssler, Rainer A","Helmut Schmidt University; University of Rostock, Technical University Dortmund",2020/5/13,Review of Finance,Forecasting the Equity Premium: Mind the News!*,24,https://academic.oup.com/rof/article/24/6/1313/5788550,,,,,,
"Agarwal, Sumit; Deng, Yongheng; Gu, Quanlin; He, Jia; Qian, Wenlan; Ren, Yuan","NUS Business School, National University of Singapore , Singapore City,  Singapore; Wisconsin School of Business, University of Wisconsin?�Madison , Madison, Wisconsin,  USA; China Center for Internet Economy Research, Central University of Finance and Economics, and Wuxi Xishang Bank , Beijing,  China; School of Finance, Nankai University , Tianjin,  China; HKU Business School, University of Hong Kong , and NUS Business School, National University of Singapore, Singapore City,  Singapore; School of Economics and Academy of Financial Research , Zhejiang University, Hangzhou,  China",2022/2/17,Review of Finance,"Mortgage Debt, Hand-to-Mouth Households, and Monetary Policy Transmission*",26,https://academic.oup.com/rof/article/26/3/487/6530353,,,,,,
"Agarwal, Sumit; Deng, Yongheng; Luo, Chenxi; Qian, Wenlan",National University of Singapore; National University of Singapore; National University of Singapore; National University of Singapore,2015/5/9,Review of Finance,The Hidden Peril: The Role of the Condo Loan Market in the Recent Financial Crisis *,20,https://academic.oup.com/rof/article/20/2/467/2461314,,,,,,
"Agarwal, Sumit; He, Jia; Sing, Tien Foo; Zhang, Jian","McDonough School of Business, Georgetown University,; School of Finance, Nankai University,; Institute of Real Estate Studies (IRES), National University of Singapore,; School of Business, Hong Kong Baptist University",2016/12/3,Review of Finance,Gender Gap in Personal Bankruptcy Risks: Empirical Evidence from Singapore*,22,https://academic.oup.com/rof/article/22/2/813/2629221,,,,,,
"Agarwal, Sumit; Hu, Luojia; Huang, Xing","1 National University of Singapore,; 2 Federal Reserve Bank of Chicago, and; 3 Michigan State University",2015/12/31,Review of Finance,Rushing into the American Dream? House Prices Growth and the Timing of Homeownership,20,https://academic.oup.com/rof/article/20/6/2183/2418139,,,,,,
"Agarwal, Vikas; Barber, Brad; Cheng, Si; Hameed, Allaudeen; Yasuda, Ayako","Robinson College of Business Georgia State University ,  USA; Graduate School of Management, UC Davis ,  USA; Whitman School of Management, Syracuse University ,  USA; NUS Business School, National University of Singapore ,  Singapore; Graduate School of Management, UC Davis ,  USA",2022/5/31,Review of Finance,Private Company Valuations by Mutual Funds*,27,https://academic.oup.com/rof/article/27/2/693/6596068,,,,,,
"Ahnert, Toni; Bertsch, Christoph","European Central Bank ,  Germany    Bank of Canada ,  Canada    Centre for Economic Policy Research ,  UK; Sveriges Riksbank ,  Sweden",2022/5/2,Review of Finance,A Wake-Up Call Theory of Contagion*,26,https://academic.oup.com/rof/article/26/4/829/6576651,,,,,,
"Aktas, Nihat; Boone, Audra; Witkowski, Alexander; Xu, Guosong; Yurtoglu, Burcin",WHU?�Otto Beisheim School of Management; Texas Christian University; WHU?�Otto Beisheim School of Management; Rotterdam School of Management Erasmus University; WHU?�Otto Beisheim School of Management,2020/11/5,Review of Finance,The Role of Internal M&amp;A Teams in Takeovers,25,https://academic.oup.com/rof/article/25/4/1047/5956842,,,,,,
"Alcock, Jamie; Hatherley, Anthony",The University of Sydney; The University of Sydney,2016/6/28,Review of Finance,Characterizing the Asymmetric Dependence Premium*,21,https://academic.oup.com/rof/article/21/4/1701/2670080,,,,,,
"Allen, Franklin; Brenner, Menachem",,2017/3/13,Review of Finance,A Special Issue of the International Risk Management Conference in Warsaw Poland,21,https://academic.oup.com/rof/article/21/1/387/3067294,,,,,,
"Allen, Franklin; Carletti, Elena; Cull, Robert; Qian, Jun QJ; Senbet, Lemma; Valenzuela, Patricio",Imperial College  London; Bocconi University; World Bank; Fudan University; University of Maryland; University of Chile,2020/9/30,Review of Finance,Improving Access to Banking: Evidence from Kenya*,25,https://academic.oup.com/rof/article/25/2/403/5913397,,,,,,
"Allen, Franklin; Carletti, Elena; Marquez, Robert","University of Pennsylvania, Bocconi University, Igier and CEPR and University of California, Davis; University of Pennsylvania, Bocconi University, Igier and CEPR and University of California, Davis; University of Pennsylvania, Bocconi University, Igier and CEPR and University of California, Davis",2014/3/21,Review of Finance,"Stakeholder Governance, Competition, and Firm Value*",19,https://academic.oup.com/rof/article/19/3/1315/1594224,,,,,,
"Allen, Franklin; Edmans, Alex","1 Imperial College London and; 2 London Business School, CEPR, and ECGI",2017/2/28,Review of Finance,Editorial*,21,https://academic.oup.com/rof/article/21/1/1/3057956,,,,,,
"Allen, Jason; Damar, H. Evren; Martinez-Miera, David",Bank of Canada and; Bank of Canada and; Universidad Carlos III de Madrid,2015/8/11,Review of Finance,"Consumer Bankruptcy, Bank Mergers, and Information*",20,https://academic.oup.com/rof/article/20/4/1289/1752993,,,,,,
"Almenberg, Johan; Karapetyan, Artashes",Swedish Ministry of Finance and Norges Bank; Swedish Ministry of Finance and Norges Bank,2013/12/30,Review of Finance,Hidden Costs of Hidden Debt*,18,https://academic.oup.com/rof/article/18/6/2247/1663660,,,,,,
"Altavilla, Carlo; Pagano, Marco; Simonelli, Saverio",1 European Central Bank and CSEF; 2 Universit? di Napoli Federico II and CSEF; 2 Universit? di Napoli Federico II and CSEF,2017/8/17,Review of Finance,Bank Exposures and Sovereign Stress Transmission*,21,https://academic.oup.com/rof/article/21/6/2103/4084283,,,,,,
"Ambrose, Brent W; Emmerling, Thomas; Huang, Henry H; Yildirim, Yildiray","Institute for Real Estate Studies, The Pennsylvania State University; M&amp;T Bank Corporation; National Central University; Zicklin School of Business, CUNY-Baruch College",2018/1/30,Review of Finance,Capital Structure and the Substitutability versus Complementarity Nature of Leases and Debt*,23,https://academic.oup.com/rof/article/23/3/659/4829938,,,,,,
"Amromin, Gene; Huang, Jennifer; Sialm, Clemens; Zhong, Edward",Federal Reserve Bank of Chicago; Cheung Kong Graduate School of Business; University of Texas at Austin and NBER; Farallon Capital Management,2018/5/23,Review of Finance,Complex Mortgages*,22,https://academic.oup.com/rof/article/22/6/1975/5001716,,,,,,
"An, Xudong; Deng, Yongheng; Gabriel, Stuart A","Federal Reserve Bank of Philadelphia; University of Wisconsin ??Madison; University of California, Los Angeles Anderson School of Management",2020/8/17,Review of Finance,Default Option Exercise over the Financial Crisis and beyond*,25,https://academic.oup.com/rof/article/25/1/153/5893492,,,,,,
"Andersen, Torben G.; Bondarenko, Oleg","Northwestern University, NBER, and CREATES and University of Illinois at Chicago; Northwestern University, NBER, and CREATES and University of Illinois at Chicago",2014/9/25,Review of Finance,Assessing Measures of Order Flow Toxicity and Early Warning Signals for Market Turbulence*,19,https://academic.oup.com/rof/article/19/1/1/2886427,,,,,,
"Anderson, Anders; Robinson, David T","Stockholm School of Economics ,  Sweden; Fuqua School of Business, Duke University ,  USA",2021/12/1,Review of Finance,Financial Literacy in the Age of Green Investment*,26,https://academic.oup.com/rof/article/26/6/1551/6447528,,,,,,
"Andrade, Eduardo B.; Odean, Terrance; Lin, Shengle","Brazilian School of Public and Business Administration,; University of California, Berkeley, and; San Francisco State University",2015/5/6,Review of Finance,Bubbling with Excitement: An Experiment *,20,https://academic.oup.com/rof/article/20/2/447/2461321,,,,,,
"Andreasen, Martin M; Christensen, Jens H E; Riddell, Simon",Aarhus University; Federal Reserve Bank of San Francisco; Amazon,2021/10/26,Review of Finance,The TIPS Liquidity Premium*,25,https://academic.oup.com/rof/article/25/6/1639/6410663,,,,,,
"Andreasen, Martin M; Christensen, Jens H E; Riddell, Simon",Aarhus University; Federal Reserve Bank of San Francisco; Amazon,2022/2/28,Review of Finance,Correction to: The TIPS Liquidity Premium,26,https://academic.oup.com/rof/article/26/2/443/6539782,,,,,,
"Andreou, Panayiotis C.; Louca, Christodoulos; Petrou, Andreas P.",1 Cyprus University of Technology   2 Durham University; 1 Cyprus University of Technology   2 Durham University; 1 Cyprus University of Technology,2016/10/24,Review of Finance,CEO Age and Stock Price Crash Risk*,21,https://academic.oup.com/rof/article/21/3/1287/2444586,,,,,,
"Andrew Karolyi, G.",Cornell University,2016/3/29,Review of Finance,"Home Bias, an Academic Puzzle",20,https://academic.oup.com/rof/article/20/6/2049/2418145,,,,,,
"Andrew Karolyi, George; Wu, Ying",Cornell University; Stevens Institute of Technology,2020/10/3,Review of Finance,Is Currency Risk Priced in Global Equity Markets?*,25,https://academic.oup.com/rof/article/25/3/863/5917643,,,,,,
"Anginer, Deniz; Yıldızhan, ?elim","Development Research Group, World Bank; Terry College of Business, University of Georgia",2017/10/3,Review of Finance,Is There a Distress Risk Anomaly? Pricing of Systematic Default Risk in the Cross-section of Equity Returns*,22,https://academic.oup.com/rof/article/22/2/633/4320213,,,,,,
"Arce, ?scar; Mayordomo, Sergio; Gimeno, Ricardo",Banco de España; Banco de España; Banco de España,2020/8/8,Review of Finance,Making Room for the Needy: The Credit-Reallocation Effects of the ECB?�s Corporate QE*,25,https://academic.oup.com/rof/article/25/1/43/5889968,,,,,,
"Aretz, Kevin; Banerjee, Shantanu; Pryshchepa, Oksana",Manchester Business School; Lancaster University; University of Birmingham,2018/8/21,Review of Finance,In the Path of the Storm: Does Distress Risk Cause Industrial Firms to Risk-Shift?*,23,https://academic.oup.com/rof/article/23/6/1115/5077242,,,,,,
