,Authors,Title,Affiliations,Published Date,Journal Name ,Subjects,Volume,Issue,DOI,URL
0,Xueli Tang; Ian King,A Comment on Roland Benabou's Tax and Education Policy in a Heterogeneous-Agent Economy: What Levels of Redistribution Maximize Growth and Efficiency?,"1Dept. of Economics, University of Auckland, 3A Symonds St., Auckland, NewZealand; txue001@comc.auckland.ac.nz; 2Dept. of Economics, University of Auckland, 3A Symonds St., Auckland, NewZealand; ip.king@auckland.ac.nz.",2005/5/1,Econometrica,Economics and Econometrics,73,3,10.1111/j.1468-0262.2005.00602.x,http://dx.doi.org/10.1111/j.1468-0262.2005.00602.x
1,Jinyong Hahn; Whitney Newey,Jackknife and Analytical Bias Reduction for Nonlinear Panel Models,"Dept. of Economics, UCLA, Los Angeles, USA; Dept. of Economics, Massachusetts Institute of Technology, Cambridge, USA",2004/7/1,Econometrica,Economics and Econometrics,72,4,10.1111/j.1468-0262.2004.00533.x,http://dx.doi.org/10.1111/j.1468-0262.2004.00533.x
2,Manjong Lee; Neil Wallace; Tao Zhu,Modeling Denomination Structures,"1Dept. of Economics, The Pennsylvania State University, University Park, PA16802, U.S.A.; 1Dept. of Economics, The Pennsylvania State University, University Park, PA16802, U.S.A.; 2Dept. of Economics, Cornell University, Ithaca, NY 14853, U.S.A.",2005/5/1,Econometrica,Economics and Econometrics,73,3,10.1111/j.1468-0262.2005.00599.x,http://dx.doi.org/10.1111/j.1468-0262.2005.00599.x
3,Gur Huberman; Werner Stanzl,Price Manipulation and Quasi-Arbitrage,"Columbia Business School, New York, USA; Columbia Business School, New York, USA",2004/7/1,Econometrica,Economics and Econometrics,72,4,10.1111/j.1468-0262.2004.00531.x,http://dx.doi.org/10.1111/j.1468-0262.2004.00531.x
4,Thierry Magnac,Panel Binary Variables and Sufficiency: Generalizing Conditional Logit,"INRA, Paris-Jourdan and CREST-INSEE, 48, Bld Jourdan, Paris, France",2004/11/1,Econometrica,Economics and Econometrics,72,6,10.1111/j.1468-0262.2004.00556.x,http://dx.doi.org/10.1111/j.1468-0262.2004.00556.x
5,Javier Hidalgo,Nonparametric Test for Causality with Long-range Dependence,"Economics Dept., London School of Economics, UK",2000/11/1,Econometrica,Economics and Econometrics,68,6,10.1111/1468-0262.00168,http://dx.doi.org/10.1111/1468-0262.00168
6,Vladislav Damjanovic; Charles Nolan,Aggregation and Optimization with State-Dependent Pricing: A Comment,"School of Economics and Finance, University of St. Andrews, Castlecliffe, The Scores, St. Andrews, Fife KY16 9AL, Scotland, U.K.; vd6@st-andrews.ac.uk</br>and </br> School of Economics and Finance, University of St. Andrews, Castlecliffe, The Scores, St. Andrews, Fife KY16 9AL, Scotland, U.K.; cn14@st-andrews.ac.uk.",2006/3/1,Econometrica,Economics and Econometrics,74,2,10.1111/j.1468-0262.2006.00672.x,http://dx.doi.org/10.1111/j.1468-0262.2006.00672.x
7,Larry G. Epstein; Jiankang Zhang,Subjective Probabilities on Subjectively Unambiguous Events,,2001/3/1,Econometrica,Economics and Econometrics,69,2,10.1111/1468-0262.00193,http://dx.doi.org/10.1111/1468-0262.00193
8,David Card; Dean R. Hyslop,Estimating the Effects of a Time-Limited Earnings Subsidy for Welfare-Leavers,"Dept. of Economics, 549 Evans Hall, #3880, University of California, Berkeley, CA 94705-3880, U.S.A., and NBER; card@econ.berkeley.edu</br>and </br> New Zealand Treasury, P.O. Box 3724, Wellington, New Zealand; dean.hyslop@treasury.govt.nz.",2005/11/1,Econometrica,Economics and Econometrics,73,6,10.1111/j.1468-0262.2005.00637.x,http://dx.doi.org/10.1111/j.1468-0262.2005.00637.x
9,Szilvia Pápai,Strategyproof Assignment by Hierarchical Exchange,"Faculdade de Economia, Universidade Nova de Lisboa, Portugal",2000/11/1,Econometrica,Economics and Econometrics,68,6,10.1111/1468-0262.00166,http://dx.doi.org/10.1111/1468-0262.00166
10,Susan Athey; Kyle Bagwell,Collusion With Persistent Cost Shocks,"Dept. of Economics, Harvard University, 1875 Cambridge Street, Cambridge, MA 02138, U.S.A. and NBER; athey@fas.harvard.edu; Dept. of Economics and School of Business, Columbia University, 420 West 118th Street, New York, NY 10027, U.S.A. and NBER; kwb8@columbia.edu",2008/5/1,Econometrica,Economics and Econometrics,76,3,10.1111/j.1468-0262.2008.00845.x,http://dx.doi.org/10.1111/j.1468-0262.2008.00845.x
11,Yossi Feinberg; Colin Stewart,Testing Multiple Forecasters,"Graduate School of Business, Stanford University, Stanford, CA 94305-5015, U.S.A.; yossi@gsb.stanford.edu; Dept. of Economics, University of Toronto, 150 St. George Street, Toronto, Ontario, Canada M5S 3G7; colin.stewart@utoronto.ca",2008/5/1,Econometrica,Economics and Econometrics,76,3,10.1111/j.1468-0262.2008.00847.x,http://dx.doi.org/10.1111/j.1468-0262.2008.00847.x
12,James C. Cox; Daniel Friedman; Vjollca Sadiraj,Revealed Altruism1,"Dept. of Economics and Experimental Economics Center (ExCEN), Andrew Young School of Policy Studies, Georgia State University, P.O. Box 3992, Atlanta, GA 30302-3992, U.S.A.; jccox@gsu.edu; Dept. of Economics, 417 Building E2, University of California, Santa Cruz, CA 95064, U.S.A.; dan@ucsc.edu; Dept. of Economics and Experimental Economics Center (ExCEN), Andrew Young School of Policy Studies, Georgia State University, P.O. Box 3992, Atlanta, GA 30302-3992, U.S.A.; vsadiraj@gsu.edu",2008/1/1,Econometrica,Economics and Econometrics,76,1,10.1111/j.0012-9682.2008.00817.x,http://dx.doi.org/10.1111/j.0012-9682.2008.00817.x
13,Aprajit Mahajan,Identification and Estimation of Regression Models with Misclassification,,2006/5/1,Econometrica,Economics and Econometrics,74,3,10.1111/j.1468-0262.2006.00677.x,http://dx.doi.org/10.1111/j.1468-0262.2006.00677.x
14,Bruno Biais; David Martimort; Jean-Charles Rochet,Competing Mechanisms in a Common Value Environment,"IDEI-R and GREMAQ, Université de Toulouse I, France,; IDEI-R and Université de Pau, France; IDEI-R and GREMAQ, Université de Toulouse I, France,",2000/7/1,Econometrica,Economics and Econometrics,68,4,10.1111/1468-0262.00138,http://dx.doi.org/10.1111/1468-0262.00138
15,Robert Evans; Jonathan P. Thomas,Cooperation and Punishment,"St. John's College, University of Cambridge, Cambridge CB2 1TP, U.K.; robert.evans@econ.cam.ac.uk,; University of St. Andrews, St. Andrews KY16 9AL, Scotland; jpt@st-and.ac.uk;",2001/7/1,Econometrica,Economics and Econometrics,69,4,10.1111/1468-0262.00230,http://dx.doi.org/10.1111/1468-0262.00230
16,Philip J. Reny; Shmuel Zamir,On the Existence of Pure Strategy Monotone Equilibria in Asymmetric First-Price Auctions,"Dept. of Economics, University of Chicago, USA; EUREQua, CNRS, University of Paris, France, and Center for the Study of Rationality, Hebrew University of Jerusalem, Israel",2004/7/1,Econometrica,Economics and Econometrics,72,4,10.1111/j.1468-0262.2004.00527.x,http://dx.doi.org/10.1111/j.1468-0262.2004.00527.x
17,Jacob K. Goeree; Theo Offerman,Notes and Comments the Amsterdam Auction,,2004/1/1,Econometrica,Economics and Econometrics,72,1,10.1111/j.1468-0262.2004.00484.x,http://dx.doi.org/10.1111/j.1468-0262.2004.00484.x
18,Debraj Ray,The Time Structure of Self-Enforcing Agreements,"Department of Economics, New York University, 269 Mercer Street, New York, NY 10003, U.S.A.debraj.ray@nyu.edu",2002/3/1,Econometrica,Economics and Econometrics,70,2,10.1111/1468-0262.00295,http://dx.doi.org/10.1111/1468-0262.00295
19,Gustavo Manso,Investment Reversibility and Agency Cost of Debt,"MIT Sloan School of Management, 50 Memorial Drive E52-446, Cambridge, MA 02142, U.S.A.; manso@mit.edu",2008/3/1,Econometrica,Economics and Econometrics,76,2,10.1111/j.1468-0262.2008.00838.x,http://dx.doi.org/10.1111/j.1468-0262.2008.00838.x
20,Olivier Compte; Philippe Jehiel,On the Value of Competition in Procurement Auctions,"C.E.R.A.S.-E.N.P.C., C.N.R.S., Paris, Francecompte@enpc.fr; C.E.R.A.S.-E.N.P.C., Paris, France, and University College Londonjehiel@enpc.fr",2002/1/1,Econometrica,Economics and Econometrics,70,1,10.1111/1468-0262.00278,http://dx.doi.org/10.1111/1468-0262.00278
