,Authors,Title,Affiliations,Published Date,Journal Name ,Subjects,Volume,Issue,DOI,URL
0,Xueli Tang; Ian King,"A Comment on Roland Benabou's ""Tax and Education Policy in a Heterogeneous-Agent Economy: What Levels of Redistribution Maximize Growth and Efficiency?""",,2005-5,Econometrica,Economics and Econometrics,73,3,10.1111/j.1468-0262.2005.00602.x,http://dx.doi.org/10.1111/j.1468-0262.2005.00602.x
1,Jinyong Hahn; Whitney Newey,Jackknife and Analytical Bias Reduction for Nonlinear Panel Models,,2004-7,Econometrica,Economics and Econometrics,72,4,10.1111/j.1468-0262.2004.00533.x,http://dx.doi.org/10.1111/j.1468-0262.2004.00533.x
2,Manjong Lee; Neil Wallace; Tao Zhu,Modeling Denomination Structures,,2005-5,Econometrica,Economics and Econometrics,73,3,10.1111/j.1468-0262.2005.00599.x,http://dx.doi.org/10.1111/j.1468-0262.2005.00599.x
3,Gur Huberman; Werner Stanzl,Price Manipulation and Quasi-Arbitrage,,2004-7,Econometrica,Economics and Econometrics,72,4,10.1111/j.1468-0262.2004.00531.x,http://dx.doi.org/10.1111/j.1468-0262.2004.00531.x
4,Thierry Magnac,Panel Binary Variables and Sufficiency: Generalizing Conditional Logit,,2004-11,Econometrica,Economics and Econometrics,72,6,10.1111/j.1468-0262.2004.00556.x,http://dx.doi.org/10.1111/j.1468-0262.2004.00556.x
5,Javier Hidalgo,Nonparametric Test for Causality with Long-range Dependence,,2000-11,Econometrica,Economics and Econometrics,68,6,10.1111/1468-0262.00168,http://dx.doi.org/10.1111/1468-0262.00168
6,Vladislav Damjanovic; Charles Nolan,Aggregation and Optimization with State-Dependent Pricing: A Comment,,2006-3,Econometrica,Economics and Econometrics,74,2,10.1111/j.1468-0262.2006.00672.x,http://dx.doi.org/10.1111/j.1468-0262.2006.00672.x
7,Larry G. Epstein; Jiankang Zhang,Subjective Probabilities on Subjectively Unambiguous Events,,2001-3,Econometrica,Economics and Econometrics,69,2,10.1111/1468-0262.00193,http://dx.doi.org/10.1111/1468-0262.00193
8,David Card; Dean R. Hyslop,Estimating the Effects of a Time-Limited Earnings Subsidy for Welfare-Leavers,,2005-11,Econometrica,Economics and Econometrics,73,6,10.1111/j.1468-0262.2005.00637.x,http://dx.doi.org/10.1111/j.1468-0262.2005.00637.x
9,Szilvia Papai,Strategyproof Assignment by Hierarchical Exchange,,2000-11,Econometrica,Economics and Econometrics,68,6,10.1111/1468-0262.00166,http://dx.doi.org/10.1111/1468-0262.00166
10,Susan Athey; Kyle Bagwell,Collusion With Persistent Cost Shocks,,2008-5,Econometrica,Economics and Econometrics,76,3,10.1111/j.1468-0262.2008.00845.x,http://dx.doi.org/10.1111/j.1468-0262.2008.00845.x
11,Yossi Feinberg; Colin Stewart,Testing Multiple Forecasters,,2008-5,Econometrica,Economics and Econometrics,76,3,10.1111/j.1468-0262.2008.00847.x,http://dx.doi.org/10.1111/j.1468-0262.2008.00847.x
12,James C. Cox; Daniel Friedman; Vjollca Sadiraj,Revealed Altruism,,2008-1,Econometrica,Economics and Econometrics,76,1,10.1111/j.0012-9682.2008.00817.x,http://dx.doi.org/10.1111/j.0012-9682.2008.00817.x
13,Aprajit Mahajan,Identification and Estimation of Regression Models with Misclassification,,2006-5,Econometrica,Economics and Econometrics,74,3,10.1111/j.1468-0262.2006.00677.x,http://dx.doi.org/10.1111/j.1468-0262.2006.00677.x
14,Bruno Biais; David Martimort; Jean-Charles Rochet,Competing Mechanisms in a Common Value Environment,,2000-7,Econometrica,Economics and Econometrics,68,4,10.1111/1468-0262.00138,http://dx.doi.org/10.1111/1468-0262.00138
15,Robert Evans; Jonathan P. Thomas,Cooperation and Punishment,,2001-7,Econometrica,Economics and Econometrics,69,4,10.1111/1468-0262.00230,http://dx.doi.org/10.1111/1468-0262.00230
16,Philip J. Reny; Shmuel Zamir,On the Existence of Pure Strategy Monotone Equilibria in Asymmetric First-Price Auctions,,2004-7,Econometrica,Economics and Econometrics,72,4,10.1111/j.1468-0262.2004.00527.x,http://dx.doi.org/10.1111/j.1468-0262.2004.00527.x
17,Jacob K. Goeree; Theo Offerman,Notes and Comments the Amsterdam Auction,,2004-1,Econometrica,Economics and Econometrics,72,1,10.1111/j.1468-0262.2004.00484.x,http://dx.doi.org/10.1111/j.1468-0262.2004.00484.x
18,Debraj Ray,The Time Structure of Self-Enforcing Agreements,,2002-3,Econometrica,Economics and Econometrics,70,2,10.1111/1468-0262.00295,http://dx.doi.org/10.1111/1468-0262.00295
19,Gustavo Manso,Investment Reversibility and Agency Cost of Debt,,2008-3,Econometrica,Economics and Econometrics,76,2,10.1111/j.1468-0262.2008.00838.x,http://dx.doi.org/10.1111/j.1468-0262.2008.00838.x
20,Olivier Compte; Philippe Jehiel,On the Value of Competition in Procurement Auctions,,2002-1,Econometrica,Economics and Econometrics,70,1,10.1111/1468-0262.00278,http://dx.doi.org/10.1111/1468-0262.00278
21,C. Lanier Benkard; Steven Berry,On the Nonparametric Identification of Nonlinear Simultaneous Equations Models: Comment on Brown (1983) and Roehrig (1988),,2006-9,Econometrica,Economics and Econometrics,74,5,10.1111/j.1468-0262.2006.00711.x,http://dx.doi.org/10.1111/j.1468-0262.2006.00711.x
22,Joris Pinkse; Guofu Tan,The Affiliation Effect in First-Price Auctions,,2005-1,Econometrica,Economics and Econometrics,73,1,10.1111/j.1468-0262.2005.00571.x,http://dx.doi.org/10.1111/j.1468-0262.2005.00571.x
23,Arnold Zellner; Franz C. Palm,Correction,,2000-9,Econometrica,Economics and Econometrics,68,5,10.1111/1468-0262.00159,http://dx.doi.org/10.1111/1468-0262.00159
