,Authors,Title,Affiliations,Published Date,Journal Name ,Subjects,Volume,Issue,DOI,URL
0,Jihong Lee,Unforeseen Contingency and Renegotiation with Asymmetric Information,Birkbeck College London and Yonsei University,2008-4-1,The Economic Journal,Economics and Econometrics,118,528,10.1111/j.1468-0297.2008.02137.x,http://dx.doi.org/10.1111/j.1468-0297.2008.02137.x
1,Carol Propper; Partha Dasgupta,The State of British Academic Economics — Editorial Introduction,"University of Bristol, Chair, RES Committee on Women in Economics; University of Cambridge, President, Royal Economic Society",2000-6-1,The Economic Journal,Economics and Econometrics,110,464,10.1111/1468-0297.00539,http://dx.doi.org/10.1111/1468-0297.00539
2,David Dreyer Lassen,Special Interest Politics.,University of Copenhagen,2003-6-1,The Economic Journal,Economics and Econometrics,113,488,10.1111/1468-0297.01396,http://dx.doi.org/10.1111/1468-0297.01396
3,Martin Browning; Olivier Donni; Mette Gørtz,Do you have time to take a walk together? Private and joint time within the household,"University of Copenhagen, Denmark; University of Cergy-Pontoise, France; University of Copenhagen, Denmark",2021-4-9,The Economic Journal,Economics and Econometrics,131,635,10.1093/ej/ueaa118,http://dx.doi.org/10.1093/ej/ueaa118
4,Willie Henderson,A Biographical Dictionary of Women Economists,University of Birmingham,2002-2-1,The Economic Journal,Economics and Econometrics,112,477,10.1111/1468-0297.0688g,http://dx.doi.org/10.1111/1468-0297.0688g
5,Braz Camargo; Dino Gerardi; Lucas Maestri,Efficiency in Decentralised Markets with Aggregate Uncertainty,"Sao Paulo School of Economics—FGV; Collegio Carlo Alberto, Università di Torino; FGV EPGE",2020-2-1,The Economic Journal,Economics and Econometrics,130,626,10.1093/ej/uez053,http://dx.doi.org/10.1093/ej/uez053
6,David C. Webb,Balancing the Banks: Global Lessons from the Financial Crisis. Review 2,Landon School of Economics,2011-2-1,The Economic Journal,Economics and Econometrics,121,550,10.1111/j.1468-0297.2010.02418.x,http://dx.doi.org/10.1111/j.1468-0297.2010.02418.x
7,Amrita Dhillon; Pramila Krishnan; Manasa Patnam; Carlo Perroni,Secession with Natural Resources,"Kings College, London, and CAGE, University of Warwick; University of Oxford and CEPR; CREST-ENSAE; University of Warwick, CAGE and CESIfo",2020-10-16,The Economic Journal,Economics and Econometrics,130,631,10.1093/ej/ueaa033,http://dx.doi.org/10.1093/ej/ueaa033
8,Lingxin Hao; V. Joseph Hotz; Ginger Z. Jin,"Games Parents and Adolescents Play: Risky Behaviour, Parental Reputation and Strategic Transfers",John Hopkins University; Duke University and NBER; University of Maryland and NBER,2008-4-1,The Economic Journal,Economics and Econometrics,118,528,10.1111/j.1468-0297.2008.02132.x,http://dx.doi.org/10.1111/j.1468-0297.2008.02132.x
9,Herbert Gintis,Review 2. Rationality and its Discontents,Santa Fe Institute and Central European University,2010-2-1,The Economic Journal,Economics and Econometrics,120,542,10.1111/j.1468-0297.2009.02342.x,http://dx.doi.org/10.1111/j.1468-0297.2009.02342.x
10,Richard Disney; Carl Emmerson; Gemma Tetlow,What is a Public Sector Pension Worth?,Institute for Fiscal Studies and University of Nottingham; Institute for Fiscal Studies; Institute for Fiscal Studies and University College London,2009-11-1,The Economic Journal,Economics and Econometrics,119,541,10.1111/j.1468-0297.2009.02320.x,http://dx.doi.org/10.1111/j.1468-0297.2009.02320.x
11,Eckhard Janeba; Guttorm Schjelderup,The Welfare Effects of Tax Competition Reconsidered: Politicians and Political Institutions,"University of Mannheim, CESifo and ZEW; Norwegian School of Economics and Business Adminstration",2009-7-1,The Economic Journal,Economics and Econometrics,119,539,10.1111/j.1468-0297.2009.02263.x,http://dx.doi.org/10.1111/j.1468-0297.2009.02263.x
12,Zacharias Maniadis; Fabio Tufano; John A. List,To Replicate or Not to Replicate? Exploring Reproducibility in Economics through the Lens of a Model and a Pilot Study,University of Southampton; University of Nottingham; University of Chicago,2017-10-1,The Economic Journal,Economics and Econometrics,127,605,10.1111/ecoj.12527,http://dx.doi.org/10.1111/ecoj.12527
