,Authors,Title,Affiliations,Published Date,Journal Name ,Subjects,Volume,Issue,DOI,URL
0,BING HAN,Stochastic Volatilities and Correlations of Bond Yields,"
BING HANHan is from the McCombs School of Business at the University of Texas, Austin. I am grateful to Martin Dierker, Heber Farnsworth, Mark Grinblatt, Jean Helwege, Jason Hsu, Jingzhi Huang, Christopher Jones, Andrew Karolyi, Francis Longstaff, Monika Piazzesi, Pedro Santa-Clara, Robert Stambaugh, Kenneth Singleton, an anonymous referee, and seminar participants at the Ohio State University for many useful comments. All errors are my own. Financial support from the Dice Center for Financial Economics at the Ohio State University is acknowledged.Search for more papers by this author",2007/06/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,62.0,3.0,10.1111/j.1540-6261.2007.01242.x,http://dx.doi.org/10.1111/j.1540-6261.2007.01242.x
1,LINDA M. SCHILLING,Optimal Forbearance of Bank Resolution,"
Corresponding Author
LINDA M. SCHILLING

[email protected]

Linda M. Schilling is at Olin School of Business at Washington University in St. Louis. I thank Harald Uhlig, Mikhail Golosov, Andreas Neuhierl, Toni Ahnert, Philip Bond (editor), Benjamin Brooks, Edouard Challe, Nicolae Garleanu, Zhiguo He, Joonhwi Joo, Michael Koetter, Eugen Kovac, Espen Moen, Raghuram Rajan, Referee 1, Philip Schnabl, Peter Sørensen, Jeremy Stein, Philipp Strack, and Ariel Zetlin-Jones for very insightful comments on the paper. This research was partially supported by a grant of the French National Research Agency (ANR), Investissements d'Avenir (LabEx Ecodec/ANR-11-LABX-0047). This paper developed during a stay at the Becker Friedman Institute for Research in Economics of the University of Chicago in 2017. The support and hospitality of this institution are gratefully acknowledged. I have read The Journal of Finance disclosure policy and have no conflicts of interest to disclose.
Correspondence: Linda M. Schilling, Olin School of Business, Washington University in St. Louis, Simon Hall, St. Louis, MO 63130-4899; e-mail: [email protected].Search for more papers by this author",,The Journal of Finance,Economics and Econometrics; Finance; Accounting,,,10.1111/jofi.13273,http://dx.doi.org/10.1111/jofi.13273
2,HENGJIE AI; DANA KIKU; RUI LI; JINCHENG TONG,A Unified Model of Firm Dynamics with Limited Commitment and Assortative Matching,"
Corresponding Author
HENGJIE AI

[email protected]

Correspondence: Hengjie Ai, Carlson School of Management, University of Minnesota, 321 19th Ave South, Minneapolis, MN 55455; email: [email protected].Search for more papers by this author; 
JINCHENG TONG
Hengjie Ai is affiliated with the Carlson School of Management, University of Minnesota. Dana Kiku is at the University of Illinois at Urbana-Champaign. Rui Li is at the University of Massachusetts Boston. Jincheng Tong is at the University of Toronto. We would like to thank Daniel Andrei, Xavier Gabaix, Zhiguo He, Nengjiu Ju, Dmitry Livdan, Erzo Luttmer, Vincenzo Quadrini, Adriano Rampini, Vish Vishwanathan, and Noah Williams for their helpful comments on the paper. We also thank seminar participants at the American Finance Association 2013 Meeting, the China International Conference in Finance, the Kellogg Finance Conference, the Macro Finance Workshop, the Minnesota Macro-Asset Pricing Conference, the Cheung Kong Graduate School of Business, the University of Southern California, and the University of Wisconsin-Madison. The authors have no conflicts of interest to disclose as identified in The Journal of Finance disclosure policy.Search for more papers by this author",2021/02/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,76.0,1.0,10.1111/jofi.12980,http://dx.doi.org/10.1111/jofi.12980
3,ANDREI S. GONÇALVES,Reinvestment Risk and the Equity Term Structure,"
Corresponding Author
ANDREI S. GONÇALVES

[email protected]

Correspondence: Andrei S. Gonçalves, Kenan-Flagler Business School, University of North Carolina at Chapel Hill, Finance Area, 300 Kenan Center Drive, Chapel Hill, NC 27599; email: [email protected].Search for more papers by this author",2021/10/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,76.0,5.0,10.1111/jofi.13035,http://dx.doi.org/10.1111/jofi.13035
4,NILS FRIEWALD; FLORIAN NAGLER; CHRISTIAN WAGNER,Debt Refinancing and Equity Returns,"
Corresponding Author
FLORIAN NAGLER

[email protected]

Correspondence: Florian Nagler, Bocconi University and IGIER; e-mail: [email protected].Search for more papers by this author; 
CHRISTIAN WAGNER
Nils Friewald is at the Norwegian School of Economics and CEPR. Florian Nagler is at Bocconi University and IGIER. Christian Wagner is at WU Vienna University of Economics and Business and at the Vienna Graduate School of Finance (VGSF). We are grateful to Jennie Bai, Jules van Binsbergen, Harjoat Bhamra, John Campbell, Gian Luca Clementi, Paolo Colla, Thomas Dangl, Christian Riis Flor, Lorenzo Garlappi, Thomas Geelen, Thomas Gehrig, Nicola Gennaioli, Li He, Christopher Hennessy, Søren Hvidkjær, Alexandre Jeanneret, Michael Kisser, Christian Laux, Nathalie Moyen, Guillermo Ordonez, Giorgio Ottonello, Lasse Pedersen, Thomas Kjaer Poulsen, Julien Sauvagnat, Roberto Steri, Alexander Wagner, Ramona Westermann, Toni Whited, Josef Zechner, participants at the 2017 European Winter Finance Summit (EWFS), Western Finance Association (WFA) Meetings 2016, European Finance Association (EFA) Meetings 2016, SDU Finance Workshop 2016, 2016 Meeting of the Swiss Society for Financial Market Research (SGF), and 2015 VGSF conference, as well as seminar participants at Aarhus University, Bocconi University, Copenhagen Business School, the Helsinki Finance Seminar, the Lisbon Finance Seminar (Católica/Nova), Norwegian School of Economics (NHH), Stockholm School of Economics, and USI Lugano for providing helpful comments and suggestions. Christian Wagner acknowledges support from the Center for Financial Frictions (FRIC), grant no. DNRF102. We are especially indebted to Wei Xiong (the Editor), an anonymous Associate Editor, and three anonymous referees for their extensive comments that greatly helped to improve the paper. Any remaining errors are our own. We have read The Journal of Finance disclosure policy and have no conflicts of interest to disclose.Search for more papers by this author",2022/08/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,77.0,4.0,10.1111/jofi.13162,http://dx.doi.org/10.1111/jofi.13162
5,ITAY GOLDSTEIN; CHONG HUANG,Credit Rating Inflation and Firms' Investments,"
Corresponding Author
ITAY GOLDSTEIN

[email protected]

Correspondence: Itay Goldstein, Wharton School of Business, University of Pennsylvania. [email protected].Search for more papers by this author; 
CHONG HUANG
Itay Goldstein is at Wharton School of Business, University of Pennsylvania. Chong Huang is at Paul Merage School of Business, University of California, Irvine. We would like to thank Wei Xiong (Editor), an anonymous Associate Editor, and two anonymous referees for insightful comments and suggestions. We also thank Philip Bond; Michael Brennan; Barney Hartman-Glaser; Jie He; David Hirshleifer; Yunzhi Hu; Anastasia Kartasheva; Christian Laux; Michael Lee; Xuewen Liu; Stefan Nagel; Christine Parlour; Uday Rajan; Laura Veldkamp; Han Xia; and seminar and conference participants at UC Irvine, Peking University, Renmin University, University of Arizona, Johns Hopkins University, University of Michigan, SEC, UC Berkeley, EIEF, Tsinghua PBC, Nanyang Technological University, Chinese University of Hong Kong, VGSF, USC, Columbia, Duke, UNC Chapel Hill, Dartmouth, UT Dallas, 2015 LA Finance Day conference, 2015 ESSFM, 2015 Econometric Society World Congress, the third Southern California Finance Conference, the conference of Economics of Credit Rating Agencies, Credit Ratings and Information Intermediaries, 2016 AEA, 2016 EWFS, 2016 OxFIT, 2017 SFS Cavalcade, 2017 FIRS, 2017 Barcelona GSE Summer Forum, the 17th Meeting of the Finance Theory Group, and 2018 UT Austin Theoretical Accounting Conference for comments and suggestions. The authors have read The Journal of Finance disclosure policy and have no conflicts of interest to disclose.Search for more papers by this author",2020/12/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,75.0,6.0,10.1111/jofi.12961,http://dx.doi.org/10.1111/jofi.12961
6,JOHN M. GRIFFIN; ALEX PRIEST,Is COVID Revealing a Virus in CMBS 2.0?,"
Corresponding Author
JOHN M. GRIFFIN

[email protected]
John Griffin is with McCombs School of Business, University of Texas at Austin. Alex Priest is with Simon Business School, University of Rochester. We are grateful to two anonymous referees; an associate editor; Scott Bauguess; Bo Becker; James Conklin; Willie Fuchs; Sam Kruger; Gonzalo Maturana; Stefan Nagel (the editor); Andy Naranjo; Aaron Pancost; Lee Seltzer; industry participants; and seminar and conference participants at the University of Texas and the 2021 OSU PhD Conference on Real Estate and Housing for helpful comments. We thank Kevin Mei, Eric Vance, Zirui Wang, Integra Research Group, and especially Prateek Mahajan for research support. Griffin is an owner of Integra Research Group, Integra FEC, and Integra REC, which engage in research, financial consulting, and recovery on a variety of issues related to investigating fraud, including various types of bonds. A disclosure statement is available on The Journal of Finance website.
                     Correspondence: John M. Griffin, Department of Finance, The University of Texas at Austin, 2110 Speedway, Austin, TX 78705; e-mail: [email protected].Search for more papers by this author",2023/08/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,78.0,4.0,10.1111/jofi.13228,http://dx.doi.org/10.1111/jofi.13228
7,PETER M. DEMARZO,Presidential Address: Collateral and Commitment,"
PETER M. DEMARZO
Peter DeMarzo is at the Stanford University Graduate School of Business and NBER. This Presidential Address was delivered to the American Finance Association at the annual meeting in Atlanta, January 5, 2019. I am grateful to Anat Admati, Jonathan Berk, David Bizer, Philip Bond, Doug Diamond, Darrell Duffie, Mike Fishman, Zhiguo He, Martin Hellwig, Stefan Nagel, Paul Pfleiderer, Adriano Rampini, Andy Skrzypacz, Fabrice Tourre, Branko Urošević, and Jeff Zwiebel for their comments, suggestions, and collaborations. I thank Dan Luo for research assistance, and Kau'ilani DeMarzo for helpful discussions and endless patience. I hereby declare that, under the Journal of Finance’s disclosure guidelines, I have nothing to disclose.Search for more papers by this author",2019/08/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,74.0,4.0,10.1111/jofi.12782,http://dx.doi.org/10.1111/jofi.12782
8,Jessica A. Wachter,Discussion,"
Jessica A. WachterStern School of Business, New York University. I thank John Heaton and Anthony Lynch for helpful comments.Search for more papers by this author",2001/08/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,56.0,4.0,10.1111/0022-1082.00370,http://dx.doi.org/10.1111/0022-1082.00370
9,Harald Benink; Peter Bossaerts,An Exploration of Neo-Austrian Theory Applied to Financial Markets,"
Peter BossaertsHarald Benink is from the Rotterdam School of Management, Erasmus University, Rotterdam, The Netherlands. Peter Bossaerts is from the California Institute of Technology and Center for Economic Policy Research. This paper is based on an earlier one written by the second author, entitled “Time Series Analysis Of Inefficient Financial Markets.” That paper benefited from comments during seminars at the University of New South Wales (Australia), at LIFE of Maastricht University (The Netherlands), and at the Weierstrass Institute of the Humboldt Universität (Germany). Many thanks to Israel Kirzner, Harald Uhlig, the editor and an anonymous referee for comments and criticism.Search for more papers by this author",2001/06/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,56.0,3.0,10.1111/0022-1082.00353,http://dx.doi.org/10.1111/0022-1082.00353
