,Authors,Title,Affiliations,Published Date,Journal Name ,Subjects,Volume,Issue,DOI,URL
0,Paul Schultz; Sophie Shive,"Mispricing of dual-class shares: Profit opportunities, arbitrage, and trading☆",,2010-12,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,98,3,10.1016/j.jfineco.2010.06.007,http://dx.doi.org/10.1016/j.jfineco.2010.06.007
1,Margherita Bottero; Camelia Minoiu; José-Luis Peydró; Andrea Polo; Andrea F. Presbitero; Enrico Sette,Expansionary yet different: Credit supply and real effects of negative interest rate policy,,2022-11,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,146,2,10.1016/j.jfineco.2021.11.004,http://dx.doi.org/10.1016/j.jfineco.2021.11.004
2,Du Du,General equilibrium pricing of options with habit formation and event risks,,2011-2,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,99,2,10.1016/j.jfineco.2010.09.001,http://dx.doi.org/10.1016/j.jfineco.2010.09.001
3,Agnese Leonello,Government guarantees and the two-way feedback between banking and sovereign debt crises,,2018-12,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,130,3,10.1016/j.jfineco.2018.04.003,http://dx.doi.org/10.1016/j.jfineco.2018.04.003
4,Dragana Cvijanović; Amil Dasgupta; Konstantinos E. Zachariadis,The Wall Street stampede: Exit as governance with interacting blockholders,,2022-5,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,144,2,10.1016/j.jfineco.2022.02.005,http://dx.doi.org/10.1016/j.jfineco.2022.02.005
5,Natalya Martynova; Enrico Perotti; Javier Suarez,Capital forbearance in the bank recovery and resolution game,,2022-12,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,146,3,10.1016/j.jfineco.2022.09.006,http://dx.doi.org/10.1016/j.jfineco.2022.09.006
6,Steffen Hitzemann; Stanislav Sokolinski; Mingzhu Tai,Paying for beta: Leverage demand and asset management fees,,2022-7,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,145,1,10.1016/j.jfineco.2022.04.002,http://dx.doi.org/10.1016/j.jfineco.2022.04.002
7,Morten Bennedsen; Margarita Tsoutsoura; Daniel Wolfenzon,Drivers of effort: Evidence from employee absenteeism,,2019-9,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,133,3,10.1016/j.jfineco.2018.12.001,http://dx.doi.org/10.1016/j.jfineco.2018.12.001
8,Shiyang Huang; Byoung-Hyoun Hwang; Dong Lou,The rate of communication,,2021-8,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,141,2,10.1016/j.jfineco.2021.03.013,http://dx.doi.org/10.1016/j.jfineco.2021.03.013
9,Yaxuan Qi; Lukas Roth; John K. Wald,Political rights and the cost of debt,,2010-2,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,95,2,10.1016/j.jfineco.2009.10.004,http://dx.doi.org/10.1016/j.jfineco.2009.10.004
10,Campbell R. Harvey; Marc L. Lipson; Francis E. Warnock,Darden conference issue: Capital raising in emerging economies,,2008-6,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,88,3,10.1016/j.jfineco.2008.04.001,http://dx.doi.org/10.1016/j.jfineco.2008.04.001
11,Narasimhan Jegadeesh; Yanbin Wu,Closing auctions: Nasdaq versus NYSE,,2022-3,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,143,3,10.1016/j.jfineco.2021.12.003,http://dx.doi.org/10.1016/j.jfineco.2021.12.003
12,Archana Jain; Pankaj K. Jain; Thomas H. McInish; Michael McKenzie,Worldwide reach of short selling regulations,,2013-7,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,109,1,10.1016/j.jfineco.2013.02.012,http://dx.doi.org/10.1016/j.jfineco.2013.02.012
13,Hugues Langlois,What matters in a characteristic?,,2023-7,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,149,1,10.1016/j.jfineco.2023.04.010,http://dx.doi.org/10.1016/j.jfineco.2023.04.010
14,Philip Bond; James Dow,Failing to forecast rare events,,2021-12,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,142,3,10.1016/j.jfineco.2021.06.028,http://dx.doi.org/10.1016/j.jfineco.2021.06.028
15,A KRAUS; J SAGI,Asset pricing with unforeseen contingencies☆,,2006-11,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,82,2,10.1016/j.jfineco.2005.07.013,http://dx.doi.org/10.1016/j.jfineco.2005.07.013
16,Xing Huang; Zoran Ivković; John Xuefeng Jiang; Isabel Yanyan Wang,Angel investment and first impressions,,2023-8,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,149,2,10.1016/j.jfineco.2023.05.001,http://dx.doi.org/10.1016/j.jfineco.2023.05.001
17,P. Augustin; M. Chernov; L. Schmid; D. Song,Benchmark interest rates when the government is risky,,2021-4,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,140,1,10.1016/j.jfineco.2020.10.009,http://dx.doi.org/10.1016/j.jfineco.2020.10.009
18,J.David Cummins; David Lalonde; Richard D. Phillips,The basis risk of catastrophic-loss index securities,,2004-1,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,71,1,10.1016/s0304-405x(03)00172-7,http://dx.doi.org/10.1016/s0304-405x(03)00172-7
19,George O. Aragon; Lei Li; Jun ‘QJ’ Qian,The use of credit default swaps by bond mutual funds: Liquidity provision and counterparty risk,,2019-1,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,131,1,10.1016/j.jfineco.2018.07.014,http://dx.doi.org/10.1016/j.jfineco.2018.07.014
20,Walid Y. Busaba; Felipe Restrepo,The “7% solution” and IPO (under)pricing,,2022-6,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,144,3,10.1016/j.jfineco.2021.06.041,http://dx.doi.org/10.1016/j.jfineco.2021.06.041
21,Cyrus Aghamolla; Byeong-Je An,Voluntary disclosure with evolving news,,2021-4,Journal of Financial Economics,Strategy and Management; Economics and Econometrics; Finance; Accounting,140,1,10.1016/j.jfineco.2020.11.004,http://dx.doi.org/10.1016/j.jfineco.2020.11.004
