,Authors,Title,Affiliations,Published Date,Journal Name ,Subjects,Volume,Issue,DOI,URL
0,BING HAN,Stochastic Volatilities and Correlations of Bond Yields,,2007-6,The Journal of Finance,Economics and Econometrics; Finance; Accounting,62,3,10.1111/j.1540-6261.2007.01242.x,http://dx.doi.org/10.1111/j.1540-6261.2007.01242.x
1,LINDA M. SCHILLING,Optimal Forbearance of Bank Resolution,,,The Journal of Finance,Economics and Econometrics; Finance; Accounting,,,10.1111/jofi.13273,http://dx.doi.org/10.1111/jofi.13273
2,HENGJIE AI; DANA KIKU; RUI LI; JINCHENG TONG,A Unified Model of Firm Dynamics with Limited Commitment and Assortative Matching,,2021-2,The Journal of Finance,Economics and Econometrics; Finance; Accounting,76,1,10.1111/jofi.12980,http://dx.doi.org/10.1111/jofi.12980
3,ANDREI S. GONÇALVES,Reinvestment Risk and the Equity Term Structure,,2021-10,The Journal of Finance,Economics and Econometrics; Finance; Accounting,76,5,10.1111/jofi.13035,http://dx.doi.org/10.1111/jofi.13035
4,NILS FRIEWALD; FLORIAN NAGLER; CHRISTIAN WAGNER,Debt Refinancing and Equity Returns,,2022-8,The Journal of Finance,Economics and Econometrics; Finance; Accounting,77,4,10.1111/jofi.13162,http://dx.doi.org/10.1111/jofi.13162
5,ITAY GOLDSTEIN; CHONG HUANG,Credit Rating Inflation and Firms' Investments,,2020-12,The Journal of Finance,Economics and Econometrics; Finance; Accounting,75,6,10.1111/jofi.12961,http://dx.doi.org/10.1111/jofi.12961
6,JOHN M. GRIFFIN; ALEX PRIEST,Is COVID Revealing a Virus in CMBS 2.0?,,2023-8,The Journal of Finance,Economics and Econometrics; Finance; Accounting,78,4,10.1111/jofi.13228,http://dx.doi.org/10.1111/jofi.13228
7,PETER M. DEMARZO,Presidential Address: Collateral and Commitment,,2019-8,The Journal of Finance,Economics and Econometrics; Finance; Accounting,74,4,10.1111/jofi.12782,http://dx.doi.org/10.1111/jofi.12782
8,Jessica A. Wachter,Discussion,,2001-8,The Journal of Finance,Economics and Econometrics; Finance; Accounting,56,4,10.1111/0022-1082.00370,http://dx.doi.org/10.1111/0022-1082.00370
9,Harald Benink; Peter Bossaerts,An Exploration of Neo‐Austrian Theory Applied to Financial Markets,,2001-6,The Journal of Finance,Economics and Econometrics; Finance; Accounting,56,3,10.1111/0022-1082.00353,http://dx.doi.org/10.1111/0022-1082.00353
10,CHOTIBHAK JOTIKASTHIRA; CHRISTIAN LUNDBLAD; TARUN RAMADORAI,Asset Fire Sales and Purchases and the International Transmission of Funding Shocks,,2012-12,The Journal of Finance,Economics and Econometrics; Finance; Accounting,67,6,10.1111/j.1540-6261.2012.01780.x,http://dx.doi.org/10.1111/j.1540-6261.2012.01780.x
