,Authors,Title,Affiliations,Published Date,Journal Name ,Subjects,Volume,Issue,DOI,URL
0,Pasha Andreyanov; El Hadi Caoui,Secret reserve prices by uninformed sellers,"Faculty of Economic Sciences, HSE; Department of Management, University of Toronto",,Quantitative Economics,Economics and Econometrics,13,3,10.3982/qe1781,http://dx.doi.org/10.3982/qe1781
1,Nicholas W. Papageorge,"Why medical innovation is valuable: Health, human capital, and the labor market",Department of Economics; Johns Hopkins University,2016-11,Quantitative Economics,Economics and Econometrics,7,3,10.3982/qe459,http://dx.doi.org/10.3982/qe459
2,Xun Lu; Liangjun Su,Determining the number of groups in latent panel structures with an application to income and democracy,Department of Economics; Hong Kong University of Science and Technology; School of Economics; Singapore Management University,2017-11,Quantitative Economics,Economics and Econometrics,8,3,10.3982/qe517,http://dx.doi.org/10.3982/qe517
3,Khai Xiang Chiong; Alfred Galichon; Matt Shum,Duality in dynamic discrete-choice models,INET; Department of Economics; University of Southern California; Economics Department; CIMS; New York University; Economics Department; Sciences Po; Division of Humanities and Social Sciences; California Institute of Technology,2016-3,Quantitative Economics,Economics and Econometrics,7,1,10.3982/qe436,http://dx.doi.org/10.3982/qe436
4,Andres Aradillas-López; Amit Gandhi,Estimation of games with ordered actions: An application to chain-store entry,Department of Economics; Pennsylvania State University; Department of Economics; University of Wisconsin-Madison,2016-11,Quantitative Economics,Economics and Econometrics,7,3,10.3982/qe465,http://dx.doi.org/10.3982/qe465
5,Jakob Madsen; Holger Strulik,Testing unified growth theory: Technological progress and the child quantity‐quality tradeoff,"Department of Economics, University of Western Australia; Department of Economics, University of Göttingen",,Quantitative Economics,Economics and Econometrics,14,1,10.3982/qe1751,http://dx.doi.org/10.3982/qe1751
6,Theo Offerman; Giorgia Romagnoli; Andreas Ziegler,Why are open ascending auctions popular? The role of information aggregation and behavioral biases,"CREED, University of Amsterdam; CREED, University of Amsterdam; CREED, University of Amsterdam",,Quantitative Economics,Economics and Econometrics,13,2,10.3982/qe1692,http://dx.doi.org/10.3982/qe1692
7,Brigham R. Frandsen; Lars J. Lefgren,Partial identification of the distribution of treatment effects with an application to the Knowledge is Power Program (KIPP),"Department of Economics, Brigham Young University; Department of Economics, Brigham Young University",,Quantitative Economics,Economics and Econometrics,12,1,10.3982/qe1273,http://dx.doi.org/10.3982/qe1273
8,Dana Galizia,Saddle cycles: Solving rational expectations models featuring limit cycles (or chaos) using perturbation methods,"Department of Economics, Carleton University",,Quantitative Economics,Economics and Econometrics,12,3,10.3982/qe1491,http://dx.doi.org/10.3982/qe1491
9,Ofer Setty,Optimal unemployment insurance with monitoring,"Eitan Berglas School of Economics, Tel Aviv University",,Quantitative Economics,Economics and Econometrics,10,2,10.3982/qe564,http://dx.doi.org/10.3982/qe564
10,Kartik Athreya; Andrew Owens; Felipe Schwartzman,Does redistribution increase output? The centrality of labor supply,Federal Reserve Bank of Richmond; Department of Economics; University of Rochester; Federal Reserve Bank of Richmond,2017-11,Quantitative Economics,Economics and Econometrics,8,3,10.3982/qe578,http://dx.doi.org/10.3982/qe578
11,Willem Van Zandweghe; Alexander L. Wolman,Discretionary monetary policy in the Calvo model,,,Quantitative Economics,Economics and Econometrics,10,1,10.3982/qe855,http://dx.doi.org/10.3982/qe855
12,Leland E. Farmer,The discretization filter: A simple way to estimate nonlinear state space models,"Department of Economics, University of Virginia",,Quantitative Economics,Economics and Econometrics,12,1,10.3982/qe1353,http://dx.doi.org/10.3982/qe1353
13,Thorsten Drautzburg,A narrative approach to a fiscal DSGE model,Federal Reserve Bank of Philadelphia,,Quantitative Economics,Economics and Econometrics,11,2,10.3982/qe1083,http://dx.doi.org/10.3982/qe1083
14,Peter Arcidiacono; Andrew Beauchamp; Marjorie McElroy,Terms of endearment: An equilibrium model of sex and matching,Department of Economics; Duke University; NBER; Department of Economics; Wright State University; Department of Economics; Duke University; NBER,2016-3,Quantitative Economics,Economics and Econometrics,7,1,10.3982/qe429,http://dx.doi.org/10.3982/qe429
15,Francesca de Nicola,"The impact of weather insurance on consumption, investment, and welfare",The World Bank,2015-11,Quantitative Economics,Economics and Econometrics,6,3,10.3982/qe300,http://dx.doi.org/10.3982/qe300
16,Benjamin Friedrich; Lisa Laun; Costas Meghir,Earnings dynamics of immigrants and natives in Sweden 1985–2016,"Kellogg School of Management, Northwestern University; Institute for Evaluation of Labour Market and Education Policy (IFAU); Department of Economics, Yale University; IFS; NBER; IFAU; CEPR, IZA",,Quantitative Economics,Economics and Econometrics,13,4,10.3982/qe1854,http://dx.doi.org/10.3982/qe1854
17,Moritz Drechsel-Grau; Andreas Peichl; Kai D. Schmid; Johannes F. Schmieder; Hannes Walz; Stefanie Wolter,Inequality and income dynamics in Germany,"Department of Economics, LMU Munich; Center for Macroeconomics and Surveys, ifo Institute; Faculty of Economics, LMU Munich; Department of Economics, Heilbronn University of Applied Sciences; Department of Economics, Boston University; NBER; School of Business and Economics, Friedrich-Alexander University Erlangen-Nurnberg (FAU); Institute for Employment Research (IAB); Institute for Employment Research (IAB)",,Quantitative Economics,Economics and Econometrics,13,4,10.3982/qe1912,http://dx.doi.org/10.3982/qe1912
