,Authors,Title,Affiliations,Published Date,Journal Name ,Subjects,Volume,Issue,DOI,URL
0,Áron Tóth,The great industry gamble: market structure dynamics as a survival contest,,2012-6,The RAND Journal of Economics,Economics and Econometrics,43,2,10.1111/j.1756-2171.2012.00169.x,http://dx.doi.org/10.1111/j.1756-2171.2012.00169.x
1,Saltuk Ozerturk,Stock recommendation of an analyst who trades on own account,,2007-9,The RAND Journal of Economics,Economics and Econometrics,38,3,10.1111/j.0741-6261.2007.00111.x,http://dx.doi.org/10.1111/j.0741-6261.2007.00111.x
2,Philippe Aghion; Mathias Dewatripont; Jeremy C. Stein,"Academic freedom, private‐sector focus, and the process of innovation",,2008-9,The RAND Journal of Economics,Economics and Econometrics,39,3,10.1111/j.1756-2171.2008.00031.x,http://dx.doi.org/10.1111/j.1756-2171.2008.00031.x
3,Toomas Hinnosaar; Keiichi Kawai,Robust pricing with refunds,University of Nottingham; UNSW,2020-12,The RAND Journal of Economics,Economics and Econometrics,51,4,10.1111/1756-2171.12348,http://dx.doi.org/10.1111/1756-2171.12348
4,Daniel Hosken; David Reiffen,Patterns of Retail Price Variation,,2004,The RAND Journal of Economics,Economics and Econometrics,35,1,10.2307/1593733,http://dx.doi.org/10.2307/1593733
5,Brett Hollenbeck; Kosuke Uetake,Taxation and market power in the legal marijuana industry,Anderson School of Management UCLA; School of Management Yale University,2021-9,The RAND Journal of Economics,Economics and Econometrics,52,3,10.1111/1756-2171.12384,http://dx.doi.org/10.1111/1756-2171.12384
6,Katja Seim,An empirical model of firm entry with endogenous product-type choices,,2006-9,The RAND Journal of Economics,Economics and Econometrics,37,3,10.1111/j.1756-2171.2006.tb00034.x,http://dx.doi.org/10.1111/j.1756-2171.2006.tb00034.x
7,Kuno J.M. Huisman; Peter M. Kort,Strategic capacity investment under uncertainty,Tilburg University and ASML Netherlands B.V; Tilburg University and University of Antwerp,2015-6,The RAND Journal of Economics,Economics and Econometrics,46,2,10.1111/1756-2171.12089,http://dx.doi.org/10.1111/1756-2171.12089
8,Joel Stiebale; Florian Szücs,Mergers and market power: evidence from rivals' responses in European markets,"DICE, Heinrich Heine University Düsseldorf; Wirtschaftsuniversität Wien",2022-12,The RAND Journal of Economics,Economics and Econometrics,53,4,10.1111/1756-2171.12427,http://dx.doi.org/10.1111/1756-2171.12427
9,Huseyin Yildirim,Who fares better in teamwork?,Department of Economics Duke University Box 90097 Durham NC 27708,2023-6,The RAND Journal of Economics,Economics and Econometrics,54,2,10.1111/1756-2171.12438,http://dx.doi.org/10.1111/1756-2171.12438
