,Authors,Title,Affiliations,Published Date,Journal Name ,Subjects,Volume,Issue,DOI,URL
0,Arthur Robson; Larry Samuelson,The evolution of decision and experienced utilities,"Department of Economics, Simon Fraser University; robson@sfu.ca; Department of Economics, Yale University; Larry.Samuelson@yale.edu",2011/09/01,Theoretical Economics,"General Economics, Econometrics and Finance",6,3,10.3982/te800,http://dx.doi.org/10.3982/te800
1,Azar Abizada,Stability and incentives for college admissions with budget constraints,School of Business; ADA University,2016-5,Theoretical Economics,"General Economics, Econometrics and Finance",11,2,10.3982/te1731,http://dx.doi.org/10.3982/te1731
2,Heiner Schumacher; Heidi Christina Thysen,Equilibrium contracts and boundedly rational expectations,"Department of Public Finance, University of Innsbruck; Department of Economics, Norwegian School of Economics (NHH)",,Theoretical Economics,"General Economics, Econometrics and Finance",17,1,10.3982/te4231,http://dx.doi.org/10.3982/te4231
3,Yaron Azrieli; Christopher P. Chambers; Paul J. Healy,Constrained preference elicitation,"Department of Economics, The Ohio State University; Department of Economics, Georgetown University; Department of Economics, The Ohio State University",,Theoretical Economics,"General Economics, Econometrics and Finance",16,2,10.3982/te4208,http://dx.doi.org/10.3982/te4208
4,Pak Hung Au,The loser's curse in the search for advice,"Department of Economics, The Hong Kong University of Science and Technology",,Theoretical Economics,"General Economics, Econometrics and Finance",14,3,10.3982/te2531,http://dx.doi.org/10.3982/te2531
5,Ran Eilat; Ady Pauzner,Bilateral trade with a benevolent intermediary,"Department of Economics, Ben Gurion University of the Negev; The Eitan Berglas School of Economics, Tel-Aviv University",,Theoretical Economics,"General Economics, Econometrics and Finance",16,4,10.3982/te3703,http://dx.doi.org/10.3982/te3703
6,Tai Wei Hu; Eran Shmaya,Expressible inspections,"Kellogg School of Management, Northwestern University; t-hu@kellogg.northwestern.edu; Kellogg School of Management, Northwestern University; e-shmaya@kellogg.northwestern.edu",2013/05/01,Theoretical Economics,"General Economics, Econometrics and Finance",8,2,10.3982/te992,http://dx.doi.org/10.3982/te992
7,Marcin Pęski,An anti-folk theorem for finite past equilibria in repeated games with private monitoring,,2012/01/01,Theoretical Economics,"General Economics, Econometrics and Finance",7,1,10.3982/te760,http://dx.doi.org/10.3982/te760
8,Oriol Carbonell-Nicolau; Humberto Llavador,Inequality reducing properties of progressive income tax schedules: The case of endogenous income,Department of Economics; Rutgers University; Department of Economics; Universitat Pompeu Fabra; Barcelona GSE,2018-1,Theoretical Economics,"General Economics, Econometrics and Finance",13,1,10.3982/te2533,http://dx.doi.org/10.3982/te2533
9,Jean Guillaume Forand; Jan Zápal,Production priorities in dynamic relationships,"Department of Economics, University of Waterloo; CERGE-EI, a joint workplace of Charles University and the Economics Institute of the Czech Academy of Sciences",,Theoretical Economics,"General Economics, Econometrics and Finance",15,3,10.3982/te2963,http://dx.doi.org/10.3982/te2963
10,Florian Brandl; Felix Brandt,Justifying optimal play via consistency,"Department of Economics, Stanford University; Department of Informatics, Technische Universität München",,Theoretical Economics,"General Economics, Econometrics and Finance",14,4,10.3982/te3423,http://dx.doi.org/10.3982/te3423
11,Brian Baisa,Efficient multiunit auctions for normal goods,"Department of Economics, Amherst College",,Theoretical Economics,"General Economics, Econometrics and Finance",15,1,10.3982/te3430,http://dx.doi.org/10.3982/te3430
12,Bhaskar Dutta; Hannu Vartiainen,Coalition formation and history dependence,"Department of Economics, University of Warwick; Department of Economics, Ashoka University; Faculty of Social Sciences, University of Helsinki; Helsinki Graduate School of Economics",,Theoretical Economics,"General Economics, Econometrics and Finance",15,1,10.3982/te2947,http://dx.doi.org/10.3982/te2947
13,Leonie Baumann,A model of weighted network formation,"Department of Economics, McGill University",,Theoretical Economics,"General Economics, Econometrics and Finance",16,1,10.3982/te2177,http://dx.doi.org/10.3982/te2177
14,Godfrey Keller; Sven Rady,Breakdowns,Department of Economics; University of Oxford; Department of Economics; University of Bonn; Hausdorff Center for Mathematics; University of Bonn,2015-1,Theoretical Economics,"General Economics, Econometrics and Finance",10,1,10.3982/te1670,http://dx.doi.org/10.3982/te1670
15,Simon Loertscher; Claudio Mezzetti,A dominant strategy double clock auction with estimation‐based tâtonnement,"Department of Economics, University of Melbourne; School of Economics, University of Queensland",,Theoretical Economics,"General Economics, Econometrics and Finance",16,3,10.3982/te3311,http://dx.doi.org/10.3982/te3311
