,Authors,Title,Affiliations,Published Date,Journal Name ,Subjects,Volume,Issue,DOI,URL
0,Alessandro Bonatti; Matthew Mitchell,"Introduction to the Symposium on Contracts, Organizations, and Ownership",,2022-2-2,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",69.0,4,10.1111/joie.12281,http://dx.doi.org/10.1111/joie.12281
1,Ricardo Cabral; Michael J. Leiblein,Adoption of a Process Innovation with Learning-by-Doing: Evidence from the Semiconductor Industry,,2003-3-27,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",49.0,3,10.1111/1467-6451.00149,http://dx.doi.org/10.1111/1467-6451.00149
2,David Bardey; Denis Gromb; David Martimort; Jérôme Pouyet,Controlling Sellers Who Provide Advice: Regulation and Competition*,"Department of Economics (CEDE) University of Los Andes, Bogotá, Colombia, and visiting fellow at Toulouse School of Economics Toulouse France; HEC Paris, 1 rue de la Libération Jouy‐en‐Josas France; Paris School of Economics (EHESS) 48 boulevard Jourdan Paris France; CY Cergy Paris Université, CNRS, THEMA and ESSEC Business School 3 Avenue Bernard Hirsch, BP 50105 Cergy 95021 France",2020-9-7,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",68.0,3,10.1111/joie.12228,http://dx.doi.org/10.1111/joie.12228
3,Marius Schwartz; Daniel R. Vincent,Platform Competition With Cash‐Back Rebates Under No Surcharge Rules,"Department of Economics Georgetown University Washington D.C. U.S.A.; Department of Economics University of Maryland, College Park College Park Maryland U.S.A.",2020-7-29,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",68.0,2,10.1111/joie.12210,http://dx.doi.org/10.1111/joie.12210
4,Paolo Buccirossi,A Search Model Where Consumers Choose Quantity Based on Expected Price,,,Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",51.0,4,10.1111/j.0022-1821.2003.00208.x,http://dx.doi.org/10.1111/j.0022-1821.2003.00208.x
5,Chia‐Hui Chen; Junichiro Ishida,A War of Attrition with Experimenting Players*,Institute of Economic Research Kyoto University Kyoto Japan; Institute of Social and Economic Research Osaka University Osaka Japan,2021-7-11,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",69.0,2,10.1111/joie.12250,http://dx.doi.org/10.1111/joie.12250
6,Claire Chambolle; Clémence Christin,New Product Introduction and Slotting Fees*,"Université Paris‐Saclay, INRAE, UR ALISS Ivry‐sur‐Seine France; CREST, École Polytechnique; Normandie Université, CREM‐UMR CNRS 6211, UFR SEGGAT Esplanade de la Paix Caen France",2021-7-11,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",69.0,2,10.1111/joie.12247,http://dx.doi.org/10.1111/joie.12247
7,ANTHONY M. MARINO; JAN ZABOJNIK,"MERGER, EASE OF ENTRY AND ENTRY DETERRENCE IN A DYNAMIC MODEL",,,Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",54.0,3,10.1111/j.1467-6451.2006.00294.x,http://dx.doi.org/10.1111/j.1467-6451.2006.00294.x
8,Luke Garrod; Matthew Olczak,Supply‐ vs. Demand‐Side Transparency: The Collusive Effects Under Imperfect Public Monitoring*,School of Business and Economics Loughborough University Leicestershire England; Aston Business School Aston University Birmingham West Midlands England,2021-12-10,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",69.0,3,10.1111/joie.12260,http://dx.doi.org/10.1111/joie.12260
9,Charles J. Thomas,Profitable Horizontal Mergers Without Efficiencies Can Increase Consumer Surplus*,Economic Science Institute &amp; Argyros School of Business and Economics Chapman University Orange California USA,2021-12-10,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",69.0,3,10.1111/joie.12249,http://dx.doi.org/10.1111/joie.12249
10,David A. Malueg; Marius Schwartz,"International Telecom Settlements: Gaming Incentives, Carrier Alliances and Pareto-Superior Reform",,2003-3-27,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",49.0,3,10.1111/1467-6451.00153,http://dx.doi.org/10.1111/1467-6451.00153
11,CHRISTOPHER R. KNITTEL; VICTOR STANGO,HOW DOES INCOMPATIBILITY AFFECT PRICES?: EVIDENCE FROM ATM'S<sup>*</sup>,,2009-8-27,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",57.0,3,10.1111/j.1467-6451.2009.00387.x,http://dx.doi.org/10.1111/j.1467-6451.2009.00387.x
12,Paul Joskow; Jean Tirole,MERCHANT TRANSMISSION INVESTMENT*,,,Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",53.0,2,10.1111/j.0022-1821.2005.00253.x,http://dx.doi.org/10.1111/j.0022-1821.2005.00253.x
