Author,Affiliation,Publication Date,Journal Title,Title,URL,,,,,,,,,,,,,,,,,,,,
D. S. Poskitt,E-mail: don.poskitt@anu.edu.au,2000/1/1,Journal of Business & Economic Statistics,Strongly Consistent Determination of Cointegrating Rank Via Canonical Correlations,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524849,,,,,,,,,,,,,,,,,,,,
Kris Jacobs,"
 Faculty of Management, McGill University, Montreal, PQ, H3A 1G5, Canada",2000/1/1,Journal of Business & Economic Statistics,Aggregate Consumption and the Predictability of Asset Returns,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524848,,,,,,,,,,,,,,,,,,,,
André Lucas,"
 Department of Finance, Vrije Universiteit, 1081HV, Amsterdam, The Netherlands E-mail: alucas@econ.vu.nl",2000/1/1,Journal of Business & Economic Statistics,A Note on Optimal Estimation From a Risk-Management Perspective Under Possibly Misspecified Tail Behavior,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524845,,,,,,,,,,,,,,,,,,,,
James R. Spletzer,"
 Bureau of Labor Statistics, Washington, DC, 20212 E-mail: spletzer_j@bls.gov",2000/1/1,Journal of Business & Economic Statistics,The Contribution of Establishment Births and Deaths to Employment Growth,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524852,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan H. Wright,"
 Board of Governors of the Federal Reserve System, Washington, DC, 20551 E-mail: jonathan.h.wright@frb.gov",2000/1/1,Journal of Business & Economic Statistics,Alternative Variance-Ratio Tests Using Ranks and Signs,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524842,,,,,,,,,,,,,,,,,,,,
Augustine C. Arize; Thomas Osang; Daniel J. Slottje,"
 College of Business and Technology, Texas A&M University, Commerce, TX, 75429 E-mail: chuck_arize@tama-commerce.edu; 
 Department of Economics, Southern Methodist University, Dallas, TX, 75275 E-mail: tosang@mail.smu.edu; 
 Department of Economics, Southern Methodist University, Dallas, TX, 75275 E-mail: dslottje@mail.smu.edu",2000/1/1,Journal of Business & Economic Statistics,Exchange-Rate Volatility and Foreign Trade: Evidence From Thirteen LDC's,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524843,,,,,,,,,,,,,,,,,,,,
Lutz Kilian; Ufuk Demiroglu,"
 Department of Economics, University of Michigan, Ann Arbor, MI, 48109-1220;
 Centre for Economic Policy Research, London, United Kingdom; 
 Department of Economics, University of Michigan, Ann Arbor, MI, 48109-1220",2000/1/1,Journal of Business & Economic Statistics,Residual-Based Tests for Normality in Autoregressions: Asymptotic Theory and Simulation Evidence,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524846,,,,,,,,,,,,,,,,,,,,
M. K. Francke; A.  F. de vos,"
 Gemeentebelastingen Amsterdam, 1100 DZ Amsterdam, The Netherlands E-mail: franckem@gba.amsterdam.nl; 
 Department of Economics and Econometrics, Vrije Universiteit, Amsterdam, 1081 HV Amsterdam, The Netherlands E-mail: avos@econ.vu.nl",2000/1/1,Journal of Business & Economic Statistics,Efficient Computation of Hierarchical Trends,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524847,,,,,,,,,,,,,,,,,,,,
John M. maheu; Thomas H. McCurdy,E-mail: john.maheu@ualberta.ca; E-mail: tmccurdy@mgmt.utoronto.ca,2000/1/1,Journal of Business & Economic Statistics,Identifying Bull and Bear Markets in Stock Returns,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524851,,,,,,,,,,,,,,,,,,,,
Michael Wolf,"y Econometría, Universidad Carlos III de Madrid, 28903, Getafe, Spain E-mail: mwolf@est-econ.uc3m.es",2000/1/1,Journal of Business & Economic Statistics,Stock Returns and Dividend Yields Revisited: A New Way to Look at an Old Problem,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524844,,,,,,,,,,,,,,,,,,,,
Jahyeong Koo; Keith R. Phillips; Fiona D. Sigalla,"
 Research Department, Federal Reserve Bank of Dallas, Dallas, TX, 75201 E-mail: jahyeong.koo@dal.frb.org; 
 Research Department, Federal Reserve Bank of Dallas, Dallas, TX, 75201 E-mail: keith.r.phillips@dal.frb.org; 
 Research Department, Federal Reserve Bank of Dallas, Dallas, TX, 75201 E-mail: fiona.d.sigalla@dal.frb.org",2000/1/1,Journal of Business & Economic Statistics,Measuring Regional Cost of Living,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524853,,,,,,,,,,,,,,,,,,,,
Graham Elliott,"Jolla, CA, 92093-0508 E-mail: gelliott@weber.ucsd.edu",2000/1/1,Journal of Business & Economic Statistics,Estimating Restricted Cointegrating Vectors,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524850,,,,,,,,,,,,,,,,,,,,
Eric Ghysels,E-mail: eghysels@psu.edu,2000/4/1,Journal of Business & Economic Statistics,Some Econometric Recipes for High-Frequency Data Cooking,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524858,,,,,,,,,,,,,,,,,,,,
Peter F. Christoffersen; Lorenzo Giorgianni,"E-mail: christop@managementmcgill.ca; and Pacific Department, International Monetary Fund, Washington, DC, 20431 E-mail: lgiorgianni@imf.org",2000/4/1,Journal of Business & Economic Statistics,Interest-Rate Arbitrage in Currency Baskets: Forecasting Weights and Measuring Risk,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524866,,,,,,,,,,,,,,,,,,,,
Toshiaki Watanabe,"
 Faculty of Economics, Tokyo Metropolitan University, Tokyo, 192-0397, Japan E-mail: twatanab@bcomp.metro-u.ac.jp",2000/4/1,Journal of Business & Economic Statistics,Bayesian Analysis of Dynamic Bivariate Mixture Models: Can They Explain the Behavior of Returns and Trading Volume?,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524862,,,,,,,,,,,,,,,,,,,,
David X. Li; H. J. Turtle,"
 Riskmetrics Group, 44 Wall Street, New York, NY, 10005 E-mail: david.li@riskmetrics.com; 
 Department of Finance, Insurance, and Real Estate, College of Business and Economics, Washington State University, Pullman, WA, 99164-4746 E-mail: hturtle@wsu.edu",2000/4/1,Journal of Business & Economic Statistics,Semiparametric ARCH Models: An Estimating Function Approach,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524860,,,,,,,,,,,,,,,,,,,,
Nicholas G. Polson; Bernard V. Tew,"
 Graduate School of Business, University of Chicago, Chicago, IL, 60637 E-mail: ngp@gshngp.uchicago.edu; 
 QED Investments, L.L.C., Lexington, KY, 40510",2000/4/1,Journal of Business & Economic Statistics,Bayesian Portfolio Selection: An Empirical Analysis of the S&P 500 Index 1970??996,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524859,,,,,,,,,,,,,,,,,,,,
