Author,Affiliation,Publication Date,Journal Title,Title,URL
Stuart G. Baker,"
 Biometry Research Group, Division of Cancer Prevention, National Cancer Institute, Bethesda, MD, 20892",2000-3-1,Journal of the American Statistical Association,"Analyzing a Randomized Cancer Prevention Trial with a Missing Binary Outcome, an Auxiliary Variable, and All-or-None Compliance",https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473897
Donna Spiegelman; Bernard Rosner; Roger Logan,"
 Departments of Epidemiology and Biostatistics, Harvard School of Public Health, Boston, MA, 02115; 
 The Channing Laboratory, Brigham and Women's Hospital, Boston, MA, 02115; 
 Department of Epidemiology, Harvard School of Public Health, Boston, MA, 02115",2000-3-1,Journal of the American Statistical Association,Estimation and Inference for Logistic Regression with Covariate Misclassification and Measurement Error in Main Study/Validation Study Designs,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473898
Michal Kulich; D. Y. Lin,"
 Department of Probability and Statistics, Charles University, 186 75, Prague, Czech Republic; 
 Department of Biostatistics, University of Washington, Box 357232, Seattle, WA, 98195",2000-3-1,Journal of the American Statistical Association,Additive Hazards Regression with Covariate Measurement Error,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473917
Sue Duval; Richard Tweedie,"
 Department of Statistics, Colorado State University, Fort Collins, CO, 80523; 
 Division of Biostatistics, School of Public Health, University of Minnesota, MN, 55455",2000-3-1,Journal of the American Statistical Association,A Nonparametric “Trim and Fill” Method of Accounting for Publication Bias in Meta-Analysis,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473905
Jonas H. Ellenberg Vice President and Senior Biostatistician,,2000-3-1,Journal of the American Statistical Association,Statisticians' Significance,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473893
Steven Buyske; Richard Fagerstrom; Zhiliang Ying,"
 Department of Statistics, Rutgers University, Piscataway, NJ, 08854; 
 Biometry Research Group, National Cancer Institute, Bethesda, MD, 20892; 
 Department of Statistics, Rutgers University, Piscataway, NJ, 08854",2000-3-1,Journal of the American Statistical Association,A Class of Weighted Log-Rank Tests for Survival Data When the Event is Rare,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473918
Louise M. Ryan,"
 Harvard School of Public Health and Dana-Farber Cancer Institute, Boston, MA, 02115",2000-3-1,Journal of the American Statistical Association,Statistical Issues in Toxicology,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473929
Sharon L. Lohr; J. N. K. Rao,"State University, Tempe, AZ, 85287; 
 Department of Mathematics and Statistics, Carleton University, Ottawa, Ontario, K1S 5B6, Canada",2000-3-1,Journal of the American Statistical Association,Inference from Dual Frame Surveys,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473920
Margaret  Sullivan Pepe,"
 Division of Public Health Sciences, Fred Hutchinson Cancer Research Center, Seattle, WA, 98109",2000-3-1,Journal of the American Statistical Association,Receiver Operating Characteristic Methodology,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473930
Joel L. Horowitz; Charles F. Manski,,2000-3-1,Journal of the American Statistical Association,Rejoinder,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473904
