Author,Affiliation,Publication Date,Journal Title,Title,Volume,Issue,URL
,,2013/01/01,Journal of Public Economics,Editorial Board,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000066
Oleg Korenok; Edward L. Millner; Laura Razzolini,"Department of Economics, Virginia Commonwealth University, United States",2013/01/01,Journal of Public Economics,Impure altruism in dictators' giving,97.0,0,https://www.sciencedirect.com/science/article/pii/S004727271200093X
David F. Burgess,"Department of Economics, Social Science Centre, University of Western Ontario, London, Ontario Canada N6A 5C2",2013/01/01,Journal of Public Economics,Reconciling alternative views about the appropriate social discount rate,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712000965
Adi Brender; Allan Drazen,"Bank of Israel, Israel; University of Maryland, United States; Collegio Carlo Alberto, Italy; NBER, United States; CEPR, United Kingdom",2013/01/01,Journal of Public Economics,"Elections, leaders, and the composition of government spending",97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712000989
Julie Berry Cullen; Mark C. Long; Randall Reback,"University of California, San Diego, CA, USA; University of Washington, Seattle, WA, USA; Barnard College, Columbia University, New York, NY, USA",2013/01/01,Journal of Public Economics,Jockeying for position: Strategic high school choice under Texas' top ten percent plan,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712000990
Kristiina Huttunen; Jukka Pirttilä; Roope Uusitalo,"Aalto University School of Economics and IZA, Finland; University of Tampere, Labour Institute for Economic Research and CESifo, Finland; HECER, IZA and IFAU, Finland",2013/01/01,Journal of Public Economics,The employment effects of low-wage subsidies,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001065
,,,,,,,https://www.sciencedirect.com/science/article/pii/S0047272712001016
Been-Lon Chen; Chia-Hui Lu,"Institute of Economics, Academia Sinica, Taipei, Taiwan; Department of Economics, National Taipei University, Taipei, Taiwan",2013/01/01,Journal of Public Economics,Optimal factor tax incidence in two-sector human capital-based models,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001077
Dhammika Dharmapala; Nadine Riedel,"University of Illinois at Urbana-Champaign, United States; Universität Hohenheim, Germany",2013/01/01,Journal of Public Economics,Earnings shocks and tax-motivated income-shifting: Evidence from European multinationals,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712000916
Tilman Klumpp; Xuejuan Su,"Department of Economics, University of Alberta, 9–20 H.M. Tory Building, Edmonton, AB, Canada T6G 2H4",2013/01/01,Journal of Public Economics,Second-order statistical discrimination,97.0,0,https://www.sciencedirect.com/science/article/pii/S004727271200103X
Fabrizio Germano; Martin Meier,"Universitat Pompeu Fabra and Barcelona GSE, Spain; Institut für Höhere Studien, Vienna, Austria",2013/01/01,Journal of Public Economics,Concentration and self-censorship in commercial media,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001089
John Ekberg; Rickard Eriksson; Guido Friebel,"Medlingsinstitutet (National Mediation Office), Stockholm, Sweden; SOFI (Swedish Institute for Social Research) , Stockholm, Sweden; Goethe Universität Frankfurt, Frankfurt, Germany; CEPR, London, UK; IZA, Bonn, Germany",2013/01/01,Journal of Public Economics,Parental leave — A policy evaluation of the Swedish “Daddy-Month” reform,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001004
John William Hatfield; Katrina Kosec,"Graduate School of Business, Stanford University, United States",2013/01/01,Journal of Public Economics,Federal competition and economic growth,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712000928
Mikhail Golosov; Maxim Troshkin; Aleh Tsyvinski; Matthew Weinzierl,"Princeton University, United States; Yale University, United States; HBS, United States; NBER, United States; Cornell University, United States",2013/01/01,Journal of Public Economics,Preference heterogeneity and optimal capital income taxation,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001144
,,,,,,,https://www.sciencedirect.com/science/article/pii/S0047272712001041
Luca Colombo; Paola Labrecciosa,"Deakin University, School of Accounting, Economics and Finance, Burwood Campus, 221 Burwood Hwy, Burwood, 3125 VIC, Australia; Monash University, Department of Economics, Clayton Campus, Wellington Road, Clayton, 3800 VIC, Australia",2013/01/01,Journal of Public Economics,How should commodities be taxed? A supergame-theoretic analysis,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712000837
,,,,,,,https://www.sciencedirect.com/science/article/pii/S0047272712001132
Nels Christiansen,"Department of Economics, Trinity University, One Trinity Place, San Antonio, TX 78212, USA",2013/01/01,Journal of Public Economics,Strategic delegation in a legislative bargaining model with pork and public goods,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001090
Matias Iaryczower; Garrett Lewis; Matthew Shum,"Department of Politics, Princeton University, 037 Corwin Hall, Princeton NJ 08544, United States; Department of Politics, Princeton University, Princeton NJ 08544, United States; Division of Humanities and Social Sciences, California Institute of Technology, 301D Baxter Hall, Pasadena, CA 91125, United States",2013/01/01,Journal of Public Economics,"To elect or to appoint? Bias, information, and responsiveness of bureaucrats and politicians",97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712000941
Daniel Bergstresser; Jeffrey Pontiff,"International Business School, Brandeis University, 415 South Street, Waltham, MA 02453, United States; Wallace E. Carroll School of Management, Boston College, 140 Commonwealth Avenue, Chestnut Hill, MA 02467‐3808, United States",2013/01/01,Journal of Public Economics,Investment taxation and portfolio performance,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712000394
