Author,Affiliation,Publication Date,Journal Title,Title,Volume,URL
H. Lorne?Carmichael; W. Bentley?MacLeod,Queen's University; University of Southern California,Jan-00,Journal of Labor Economics,Worker Cooperation and the Ratchet Effect,18,https://www.journals.uchicago.edu/doi/10.1086/209948
John?Bound; Harry J.?Holzer,University of Michigan and National Bureau of Economic Research; Michigan State University,Jan-00,Journal of Labor Economics,"Demand Shifts, Population Adjustments, and Labor Market Outcomes during the 1980s",18,https://www.journals.uchicago.edu/doi/10.1086/209949
Michael?Conlin; Taiji?Furusawa,Cornell University; Yokohama National University,Jan-00,Journal of Labor Economics,Strategic Delegation and Delay in Negotiations over the Bargaining Agenda,18,https://www.journals.uchicago.edu/doi/10.1086/209950
Bruce I.?Cater,Trent University,Jan-00,Journal of Labor Economics,"Employment, Wage, and Accommodation Patterns of Permanently Impaired Workers",18,https://www.journals.uchicago.edu/doi/10.1086/209951
Paul J.?Devereux,"University of California, Los Angeles",Jan-00,Journal of Labor Economics,Task Assignment over the Business Cycle,18,https://www.journals.uchicago.edu/doi/10.1086/209952
Barry T.?Hirsch; David A.?Macpherson,Trinity University; Florida State University,Jan-00,Journal of Labor Economics,"Earnings, Rents, and Competition in the Airline Labor Market",18,https://www.journals.uchicago.edu/doi/10.1086/209953
Dora L.?Costa,Massachusetts Institute of Technology and National Bureau of Economic Research,Jan-00,Journal of Labor Economics,The Wage and the Length of the Work Day: From the 1890s to 1991,18,https://www.journals.uchicago.edu/doi/10.1086/209954
Christian?Belzil,Concordia University,Apr-00,Journal of Labor Economics,"Job Creation and Job Destruction, Worker Reallocation, and Wages",18,https://www.journals.uchicago.edu/doi/10.1086/209955
Lalith?Munasinghe,"Barnard College, Columbia University",Apr-00,Journal of Labor Economics,Wage Growth and the Theory of Turnover,18,https://www.journals.uchicago.edu/doi/10.1086/209956
Rachel M.?Friedberg,Brown University and National Bureau of Economic Research,Apr-00,Journal of Labor Economics,You Can't Take It with You? Immigrant Assimilation and the Portability of Human Capital,18,https://www.journals.uchicago.edu/doi/10.1086/209957
Shailendra Raj?Mehta,Purdue University,Apr-00,Journal of Labor Economics,"Quality of Education, Productivity Changes, and Income Distribution",18,https://www.journals.uchicago.edu/doi/10.1086/209958
