Author,Affiliation,Publication Date,Journal Title,Title,Volume,URL
Paul Belleflamme,,2000/01/01,Games and Economic Behavior,Stable Coalition Structures with Open Membership and Asymmetric Firms,30.0,https://www.sciencedirect.com/science/article/pii/S0899825698907084
Yeon-Koo Che; Ian Gale,"Department of Economics, University of Wisconsin–Madison, Madison, Wisconsin",2000/01/01,Games and Economic Behavior,Difference-Form Contests and the Robustness of All-Pay Auctions,30.0,https://www.sciencedirect.com/science/article/pii/S0899825698907096
Olivier Gossner,"CORE, 34 voie du Roman Pays, B-1348, Louvain-la-Neuve, Belgium",2000/01/01,Games and Economic Behavior,Comparison of Information Structures,30.0,https://www.sciencedirect.com/science/article/pii/S0899825698907060
Roman Inderst,"Sonderforschungsbereich 504, Universität Mannheim, 68131, Mannheim, Germany",2000/01/01,Games and Economic Behavior,Multi-issue Bargaining with Endogenous Agenda,30.0,https://www.sciencedirect.com/science/article/pii/S0899825699907108
Alessandro Lizzeri; Nicola Persico,"Princeton University, Fisher Hall, Department of Economics, Princeton, New Jersey, 08544; Department of Economics, University of Pennsylvania, 3718 Locust Walk, Philadelphia, Pennsylvania, 19104-6297",2000/01/01,Games and Economic Behavior,Uniqueness and Existence of Equilibrium in Auctions with a Reserve Price,30.0,https://www.sciencedirect.com/science/article/pii/S0899825698907047
Giovanni Ponti,"Department of Economics, University of California, Santa Barbara, Santa Barbara, California, 93106-9210; ELSE, Centre for Economic Learning and Social Evolution, Department of Economics, University College London, London, WC1E 6BT, England",2000/01/01,Games and Economic Behavior,Cycles of Learning in the Centipede Game,30.0,https://www.sciencedirect.com/science/article/pii/S0899825698907072
Ran Spiegler,,2000/01/01,Games and Economic Behavior,Extracting Interaction-Created Surplus,30.0,https://www.sciencedirect.com/science/article/pii/S0899825699907133
Martin Dufwenberg; Uri Gneezy,,2000/02/01,Games and Economic Behavior,Measuring Beliefs in an Experimental Lost Wallet Game,30.0,https://www.sciencedirect.com/science/article/pii/S0899825699907157
Jürgen Eichberger; David Kelsey,"Department of Economics (FB 2), Universität des Saarlandes, Postfach 15 11 50, D-66041, Saarbrücken, Germany",2000/02/01,Games and Economic Behavior,Non-Additive Beliefs and Strategic Equilibria,30.0,https://www.sciencedirect.com/science/article/pii/S0899825698907242
Chaim Fershtman,"CentER, University of Tilburg, 5037 AB, Tilburg, The Netherlands",2000/02/01,Games and Economic Behavior,A Note on Multi-Issue Two-Sided Bargaining: Bilateral Procedures,30.0,https://www.sciencedirect.com/science/article/pii/S0899825699907273
Abraham Neyman; Daijiro Okada,"Institute of Mathematics, The Hebrew University of Jerusalem, Givat Ram, Jerusalem, 91904, Israel",2000/02/01,Games and Economic Behavior,Repeated Games with Bounded Entropy,30.0,https://www.sciencedirect.com/science/article/pii/S089982569990725X
Andrew Schotter; Wei Zheng; Blaine Snyder,"Department of Economics, New York University, 269 Mercer Street, New York, New York, 10003",2000/02/01,Games and Economic Behavior,Bargaining Through Agents: An Experimental Study of Delegation and Commitment,30.0,https://www.sciencedirect.com/science/article/pii/S0899825699907285
James Schummer,"MEDS Department, Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois, 60208–2009",2000/02/01,Games and Economic Behavior,Eliciting Preferences to Assign Positions and Compensation,30.0,https://www.sciencedirect.com/science/article/pii/S0899825699907182
Marc Chamberland; Ross Cressman,"Department of Mathematics and Computer Science, Grinnell College, Grinnell, Iowa, 50112; Department of Mathematics, Wilfrid Laurier University, Waterloo, Ontario, N2L 3C5, Canada",2000/02/01,Games and Economic Behavior,An Example of Dynamic (In)Consistency in Symmetric Extensive Form Evolutionary Games,30.0,https://www.sciencedirect.com/science/article/pii/S0899825699907169
0,,2000/02/01,Games and Economic Behavior,Announcement,30.0,https://www.sciencedirect.com/science/article/pii/S0899825699907844
0,,2000/02/01,Games and Economic Behavior,Author Index For Volume 30,30.0,https://www.sciencedirect.com/science/article/pii/S0899825699920110
Rabah Amir; John Wooders,,2000/04/01,Games and Economic Behavior,"One-Way Spillovers, Endogenous Innovator/Imitator Roles, and Research Joint Ventures",31.0,https://www.sciencedirect.com/science/article/pii/S0899825699907340
Bruce C. Hartman; Moshe Dror; Moshe Shaked,"MIS, College of Business, University of Arizona, Tucson, Arizona, 85721; Department of Mathematics, University of Arizona, Tucson, Arizona, 85721",2000/04/01,Games and Economic Behavior,Cores of Inventory Centralization Games,31.0,https://www.sciencedirect.com/science/article/pii/S0899825699907327
Yuri M. Kaniovski; Arkadii V. Kryazhimskii; H.Peyton Young,"International Institute for Applied Systems Analysis, A-2361, Laxenburg, Austria; Mathematical Steklov Institute, Russian Academy of Sciences, Vavilova str. 42, 117966, Moscow, Russia; Department of Economics, Johns Hopkins University, Baltimore, Maryland, 21218",2000/04/01,Games and Economic Behavior,Adaptive Dynamics in Games Played by Heterogeneous Populations,31.0,https://www.sciencedirect.com/science/article/pii/S0899825699907364
Marco Mariotti,,2000/04/01,Games and Economic Behavior,"Maximum Games, Dominance Solvability, and Coordination",31.0,https://www.sciencedirect.com/science/article/pii/S0899825699907418
David Pérez-Castrillo; David Wettstein,"Departament d'Economia i d'Història Econòmica & CODE, Universitat Autònoma de Barcelona, 08190, Bellaterra, Barcelona, Spain; Department of Economics, Monaster Center for Economic Research, Ben-Gurion University of the Negev, Beer-Sheva, 84105, Israel",2000/04/01,Games and Economic Behavior,Implementation of Bargaining Sets via Simple Mechanisms,31.0,https://www.sciencedirect.com/science/article/pii/S0899825699907303
Takashi Ui,"Institute of Policy and Planning Sciences, University of Tsukuba, Tsukuba, Ibaraki, 305-8573, Japan",2000/04/01,Games and Economic Behavior,A Shapley Value Representation of Potential Games,31.0,https://www.sciencedirect.com/science/article/pii/S0899825699907297
Giulio Codognato,,2000/04/01,Games and Economic Behavior,Cournot–Nash Equilibria in Limit Exchange Economies with Complete Markets: A Comparison between Two Models,31.0,https://www.sciencedirect.com/science/article/pii/S0899825699907352
Jinpeng Ma,,2000/04/01,Games and Economic Behavior,An Alternative Proof of an Equilibrium Existence Theorem in Exchange Economies with Indivisibilities,31.0,https://www.sciencedirect.com/science/article/pii/S0899825699907376
Aner Sela,,2000/04/01,Games and Economic Behavior,Fictitious Play in 2 × 3 Games,31.0,https://www.sciencedirect.com/science/article/pii/S0899825699907315
0,,2000/04/01,Games and Economic Behavior,Acknowledgment,31.0,https://www.sciencedirect.com/science/article/pii/S0899825600907929
