Author,Affiliation,Publication Date,Journal Title,Title,Volume,URL
"Baumol, William J.",New York University  and  Princeton University,2000-02-01,The Quarterly Journal of Economics,What Marshall Didn't Know: On the Twentieth Century's Contributions to Economics*,115,https://academic.oup.com/qje/article/115/1/1/1842230
"Heckman, James J.",University of Chicago  and the  American Bar Foundation,2000-02-01,The Quarterly Journal of Economics,Causal Parameters and Policy Analysis in Economics: A Twentieth Century Retrospective*,115,https://academic.oup.com/qje/article/115/1/45/1842259
"Lazear, Edward P.",University of Chicago,2000-02-01,The Quarterly Journal of Economics,Economic Imperialism*,115,https://academic.oup.com/qje/article/115/1/99/1842262
"Clarida, Richard; Galí, Jordi; Gertler, Mark",Columbia University; New York University  and  Universitat Pompeu Farra; New York University,2000-02-01,The Quarterly Journal of Economics,Monetary Policy Rules and Macroeconomic Stability: Evidence and Some Theory*,115,https://academic.oup.com/qje/article/115/1/147/1842232
"Spector, David",Massachusetts Institute of Technology,2000-02-01,The Quarterly Journal of Economics,Rational Debate and One-Dimensional Conflict*,115,https://academic.oup.com/qje/article/115/1/181/1842233
"Kagel, John H.; Roth, Alvin E.",Ohio State University; Harvard University,2000-02-01,The Quarterly Journal of Economics,The Dynamics of Reorganization in Matching Markets: A Laboratory Experiment Motivated by a Natural Experiment*,115,https://academic.oup.com/qje/article/115/1/201/1842244
"Weitzman, Martin L.",Harvard University,2000-02-01,The Quarterly Journal of Economics,Economic Profitability Versus Ecological Entropy*,115,https://academic.oup.com/qje/article/115/1/237/1842248
"Soskice, David; Iversen, Torben","Wissenschaftszentrum Berlin für Sozialforschung ,  Germany; Department of Government, Harvard University",2000-02-01,The Quarterly Journal of Economics,The Nonneutrality of Monetary Policy with Large Price or Wage Setters*,115,https://academic.oup.com/qje/article/115/1/265/1842249
"Frankel, David; Pauzner, Ady","Eitan Berglas School of Economics, Tel Aviv University; Eitan Berglas School of Economics, Tel Aviv University",2000-02-01,The Quarterly Journal of Economics,Resolving Indeterminacy in Dynamic Settings: The Role of Shocks*,115,https://academic.oup.com/qje/article/115/1/285/1842252
"Waller, Christopher J.","University of Kentucky ,  ZEI ,  University of Bonn",2000-02-01,The Quarterly Journal of Economics,Policy Boards and Policy Smoothing*,115,https://academic.oup.com/qje/article/115/1/305/1842255
,,0,0,0,115,https://academic.oup.com/qje/article/115/1/i/1842264
"Dasgupta, Partha; Maskin, Eric",University of Cambridge; Harvard University,2000-05-01,The Quarterly Journal of Economics,Efficient Auctions*,115,https://academic.oup.com/qje/article/115/2/341/1840435
"Besley, Timothy; Burgess, Robin","Department of Economics, London School of Economics; Department of Economics, London School of Economics",2000-05-01,The Quarterly Journal of Economics,"Land Reform, Poverty Reduction, and Growth: Evidence from India*",115,https://academic.oup.com/qje/article/115/2/389/1840440
"Tyler, John H.; Murnane, Richard J.; Willett, John B.",Brown University; Harvard University; Harvard University,2000-05-01,The Quarterly Journal of Economics,Estimating the Labor Market Signaling Value of the GED*,115,https://academic.oup.com/qje/article/115/2/431/1840448
"Galor, Oded; Moav, Omer","Brown University ,  Hebrew University , and  CEPR; Hebrew University",2000-05-01,The Quarterly Journal of Economics,"Ability-Biased Technological Transition, Wage Inequality, and Economic Growth*",115,https://academic.oup.com/qje/article/115/2/469/1840455
"Ellman, Matthew; Wantchekon, Leonard",Universitat Pompeu Fabra; Yale University,2000-05-01,The Quarterly Journal of Economics,Electoral Competition Under the Threat of Political Unrest*,115,https://academic.oup.com/qje/article/115/2/499/1840463
"Hubbard, Thomas N.","Graduate School of Business, University of Chicago , and  National Bureau of Economic Research",2000-05-01,The Quarterly Journal of Economics,The Demand for Monitoring Technologies: The Case of Trucking*,115,https://academic.oup.com/qje/article/115/2/533/1840466
"Goolsbee, Austan","University of Chicago ,  Graduate School of Business, The American Bar Foundation , and  The National Bureau of Economic Research",2000-05-01,The Quarterly Journal of Economics,In a World Without Borders: The Impact of Taxes on Internet Commerce*,115,https://academic.oup.com/qje/article/115/2/561/1840471
"Kessler, Daniel P.; McClellan, Mark B.",Stanford University  and  The National Bureau of Economic Research; Stanford University  and  The National Bureau of Economic Research,2000-05-01,The Quarterly Journal of Economics,Is Hospital Competition Socially Wasteful?*,115,https://academic.oup.com/qje/article/115/2/577/1840477
"Ruhm, Christopher J.",University of North Carolina at Greensboro  and  National Bureau of Economic Research,2000-05-01,The Quarterly Journal of Economics,Are Recessions Good for Your Health?*,115,https://academic.oup.com/qje/article/115/2/617/1840483
