Author,Affiliation,Publication Date,Journal Title,Title,Volume,URL
"Park, Kwangwoo; Pennacchi, George",,2008-05-21,The Review of Financial Studies,Harming Depositors and Helping Borrowers: The Disparate Impact of Bank Consolidation,22.0,https://academic.oup.com/rfs/article/22/1/1/1585733
"Ivashina, Victoria; Nair, Vinay B.; Saunders, Anthony; Massoud, Nadia; Stover, Roger",,2008-06-19,The Review of Financial Studies,Bank Debt and Corporate Governance,22.0,https://academic.oup.com/rfs/article/22/1/41/1586689
"Hoberg, Gerard; Prabhala, Nagpurnanand R.",,2008-08-21,The Review of Financial Studies,"Disappearing Dividends, Catering, and Risk",22.0,https://academic.oup.com/rfs/article/22/1/79/1587181
"Landier, Augustin; Thesmar, David",,2008-06-20,The Review of Financial Studies,Financial Contracting with Optimistic Entrepreneurs,22.0,https://academic.oup.com/rfs/article/22/1/117/1586882
"Barber, Brad M.; Odean, Terrance; Zhu, Ning",,2008-04-16,The Review of Financial Studies,Do Retail Trades Move Markets?,22.0,https://academic.oup.com/rfs/article/22/1/151/1585397
"Polk, Christopher; Sapienza, Paola",11,2008-04-0,The Review of Financial Studies,The Stock Market and Corporate Investment: A Test of Catering Theory,22.0,https://academic.oup.com/rfs/article/22/1/187/1585063
"Han, Bing; Hirshleifer, David; Persons, John C.",,2008-10-02,The Review of Financial Studies,Promotion Tournaments and Capital Rationing,22.0,https://academic.oup.com/rfs/article/22/1/219/1587560
"Cherkes, Martin; Sagi, Jacob; Stanton, Richard",,2008-04-02,The Review of Financial Studies,A Liquidity-Based Theory of Closed-End Funds,22.0,https://academic.oup.com/rfs/article/22/1/257/1584628
"Cao, H. Henry; Ou-Yang, Hui",,2008-03-27,The Review of Financial Studies,Differences of Opinion of Public Information and Speculative Trading in Stocks and Options,22.0,https://academic.oup.com/rfs/article/22/1/299/1583537
"Baker, Malcolm; Foley, C. Fritz; Wurgler, Jeffrey",,2008-03-19,The Review of Financial Studies,Multinationals as Arbitrageurs: The Effect of Stock Market Valuations on Foreign Direct Investment,22.0,https://academic.oup.com/rfs/article/22/1/337/1583860
"Sarkissian, Sergei; Schill, Michael J.",,2008-03-02,The Review of Financial Studies,Are There Permanent Valuation Gains to Overseas Listing?,22.0,https://academic.oup.com/rfs/article/22/1/371/1583065
"Amihud, Yakov; Hurvich, Clifford M.; Wang, Yi",,2008-06-13,The Review of Financial Studies,Multiple-Predictor Regressions: Hypothesis Testing,22.0,https://academic.oup.com/rfs/article/22/1/413/1586497
"Petersen, Mitchell A.",,2008-06-03,The Review of Financial Studies,Estimating Standard Errors in Finance Panel Data Sets: Comparing Approaches,22.0,https://academic.oup.com/rfs/article/22/1/435/1585940
"Comer, George; Larrymore, Norris; Rodriguez, Javier",Georgetown University; Quinnipiac University; University of Puerto Rico,2007-12-20,The Review of Financial Studies,Controlling for Fixed-Income Exposure in Portfolio Evaluation: Evidence from Hybrid Mutual Funds,22.0,https://academic.oup.com/rfs/article/22/2/481/1594816
"Greenwood, Robin","Baker Library ,  Harvard Business School",2008-03-27,The Review of Financial Studies,Trading Restrictions and Stock Prices,22.0,https://academic.oup.com/rfs/article/22/2/509/1595400
"Brophy, David J.; Ouimet, Paige P.; Sialm, Clemens",University of Michigan; University of Michigan; University of Texas at Austin and NBER,2006-11-13,The Review of Financial Studies,Hedge Funds as Investors of Last Resort?,22.0,https://academic.oup.com/rfs/article/22/2/541/1593958
"Diether, Karl B.; Lee, Kuan-Hui; Werner, Ingrid M.","Fisher College of Business ,  The Ohio State University; Rutgers Business School ,  Rutgers University, and Korea University Business School; Fisher College of Business ,  The Ohio State University",2008-05-09,The Review of Financial Studies,Short-Sale Strategies and Return Predictability,22.0,https://academic.oup.com/rfs/article/22/2/575/1596032
"Barber, Brad M.; Lee, Yi-Tsung; Liu, Yu-Jane; Odean, Terrance","Graduate School of Management ,  University of California; National Chengchi University; Guanghua School ,  Peking University and National Chengchi University; Haas School of Business ,  University of California",2008-04-19,The Review of Financial Studies,Just How Much Do Individual Investors Lose by Trading?,22.0,https://academic.oup.com/rfs/article/22/2/609/1595677
"Bouwman, Christa H. S.; Fuller, Kathleen; Nain, Amrita S.",Case Western Reserve University; University of Mississippi; McGill University,2007-12-11,The Review of Financial Studies,Market Valuation and Acquisition Quality: Empirical Evidence,22.0,https://academic.oup.com/rfs/article/22/2/633/1594294
"Hege, Ulrich; Lovo, Stefano; Slovin, Myron B.; Sushka, Marie E.","HEC School of Management ,  Paris; HEC School of Management ,  Paris; HEC School of Management ,  Paris; Arizona State University; HEC School of Management ,  Paris",2008-01-05,The Review of Financial Studies,Equity and Cash in Intercorporate Asset Sales: Theory and Evidence,22.0,https://academic.oup.com/rfs/article/22/2/681/1594563
"Baranchuk, Nina; Dybvig, Philip H.","University of Texas at Dallas; Washington University ,  Saint Louis",2008-05-28,The Review of Financial Studies,Consensus in Diverse Corporate Boards,22.0,https://academic.oup.com/rfs/article/22/2/715/1596453
