Author,Affiliation,Publication Date,Journal Title,Title,Volume,URL
"Chwe, Michael Suk-Young",University of Chicago,2000-01-01,The Review of Economic Studies,Communication and Coordination in Social Networks,67.0,https://academic.oup.com/restud/article/67/1/1/1576191
"Ellison, Glenn",Massachusetts Institute of Technology,2000-01-01,The Review of Economic Studies,"Basins of Attraction, Long-Run Stochastic Stability, and the Speed of Step-by-Step Evolution",67.0,https://academic.oup.com/restud/article/67/1/17/1576224
"Lee, In Ho; Valentinyi, Ákos",University of Southampton; University of Southampton,2000-01-01,The Review of Economic Studies,Noisy Contagion Without Mutation,67.0,https://academic.oup.com/restud/article/67/1/47/1576244
"Morris, Stephen",Yale University,2000-01-01,The Review of Economic Studies,Contagion,67.0,https://academic.oup.com/restud/article/67/1/57/1576255
"Barlevy, Gadi; Veronesi, Pietro",Northwestern University; University of Chicago,2000-01-01,The Review of Economic Studies,Information Acquisition in Financial Markets,67.0,https://academic.oup.com/restud/article/67/1/79/1576265
"Cole, Harold L.; Kehoe, Timothy J.",Federal Reserve Bank of Minneapolis; University of Minnesota  and  Federal Reserve Bank of Minneapolis,2000-01-01,The Review of Economic Studies,Self-Fulfilling Debt Crises,67.0,https://academic.oup.com/restud/article/67/1/91/1576276
"Fisher, Jonas D. M.; Hornstein, Andreas",Federal Reserve Bank of Chicago; Federal Reserve Bank of Richmond,2000-01-01,The Review of Economic Studies,"(S, s) Inventory Policies in General Equilibrium",67.0,https://academic.oup.com/restud/article/67/1/117/1576200
"Lloyd-Ellis, Huw; Bernhardt, Dan",University of Toronto; University of Illinois  Urbana-Champaign,2000-01-01,The Review of Economic Studies,"Enterprise, Inequality and Economic Development",67.0,https://academic.oup.com/restud/article/67/1/147/1576210
"Piketty, Thomas","CNRS (CEPREMAP, URA 928)",2000-01-01,The Review of Economic Studies,Voting as Communicating,67.0,https://academic.oup.com/restud/article/67/1/169/1576219
"Serrat, Angel",University of Chicago,2000-01-01,The Review of Economic Studies,Exchange Rate Dynamics in a Multilateral Target Zone,67.0,https://academic.oup.com/restud/article/67/1/193/1576235
"Bergemann, Dirk; Välimäki, Juuso",Yale University; University of Southampton,2000-04-01,The Review of Economic Studies,Experimentation in Markets,67.0,https://academic.oup.com/restud/article/67/2/213/1515399
"Amir, Rabah; Lambson, Val E.",Odense University  and  University of Copenhagen; Brigham Young University,2000-04-01,The Review of Economic Studies,On the Effects of Entry in Cournot Markets,67.0,https://academic.oup.com/restud/article/67/2/235/1515409
"d'Aspremont, Claude; Bhattacharya, Sudipto; Gerard-Varet, Louis-Andre","CORE, Universite Catholique de Louvain; LSE  and  CEPR; GREQM  and  UMR-NRS",2000-04-01,The Review of Economic Studies,Bargaining and Sharing Innovative Knowledge,67.0,https://academic.oup.com/restud/article/67/2/255/1515475
"Coles, Melvyn G.; Hildreth, Andrew K. G.","University of Essex  and  Universitat Autonoma Barcelona; University of California ,  Berkeley",2000-04-01,The Review of Economic Studies,"Wage Bargaining, Inventories, and Union Legislation",67.0,https://academic.oup.com/restud/article/67/2/273/1515488
"Herrendorf, Berthold; Valentinyi, Ákos; Waldmann, Robert","Universidad Carlos HI de Madrid, University of Warwick , and  CEPR; University of Southampton, Central European University , and  CEPR; Universitá di Roma Tor Vergata",2000-04-01,The Review of Economic Studies,Ruling Out Multiplicity and Indeterminacy: The Role of Heterogeneity,67.0,https://academic.oup.com/restud/article/67/2/295/1515497
"Lehrer, Ehud; Neeman, Zvika",Tel Aviv University; Boston University,2000-04-01,The Review of Economic Studies,The Scope of Anonymous Voluntary Bargaining Under Asymmetric Information,67.0,https://academic.oup.com/restud/article/67/2/309/1515510
"Marx, Leslie M.; Matthews, Steven A.",University of Rochester; University of Pennsylvania,2000-04-01,The Review of Economic Studies,Dynamic Voluntary Contribution to a Public Project,67.0,https://academic.oup.com/restud/article/67/2/327/1515521
"Maskin, Eric; Qian, Yingyi; Xu, Chenggang",Harvard University; Stanford University; London School of Economics,2000-04-01,The Review of Economic Studies,"Incentives, Information, and Organizational Form",67.0,https://academic.oup.com/restud/article/67/2/359/1515541
"Pesendorfer, Martin",Yale University,2000-07-01,The Review of Economic Studies,A Study of Collusion in First-Price Auctions,67.0,https://academic.oup.com/restud/article/67/3/381/1547415
"Maskin, Eric; Riley, John",Harvard University; UCLA,2000-07-01,The Review of Economic Studies,Asymmetric Auctions,67.0,https://academic.oup.com/restud/article/67/3/413/1547420
"Maskin, Eric; Riley, John","Harvard University; University of California ,  Los Angeles",2000-07-01,The Review of Economic Studies,Equilibrium in Sealed High Bid Auctions,67.0,https://academic.oup.com/restud/article/67/3/439/1547425
"Armstrong, Mark","Nuffield College ,  Oxford",2000-07-01,The Review of Economic Studies,Optimal Multi-Object Auctions,67.0,https://academic.oup.com/restud/article/67/3/455/1547429
"Avery, Christopher; Hendershott, Terrence",Harvard University; University of Rochester,2000-07-01,The Review of Economic Studies,Bundling and Optimal Auctions of Multiple Products,67.0,https://academic.oup.com/restud/article/67/3/483/1547464
"Angrist, Joshua D.; Graddy, Kathryn; Imbens, Guido W.","MIT  and  NBER; Exeter College ,  Oxford; UCLA  and  NBER",2000-07-01,The Review of Economic Studies,The Interpretation of Instrumental Variables Estimators in Simultaneous Equations Models with an Application to the Demand for Fish,67.0,https://academic.oup.com/restud/article/67/3/499/1547484
"Carrillo, Juan D.; Mariotti, Thomas","ECARES, Université Libre de Bruxelles and CEPR; London School of Economics",2000-07-01,The Review of Economic Studies,Strategic Ignorance as a Self-Disciplining Device,67.0,https://academic.oup.com/restud/article/67/3/529/1547490
"Laitner, John",University of Michigan,2000-07-01,The Review of Economic Studies,Structural Change and Economic Growth,67.0,https://academic.oup.com/restud/article/67/3/545/1547497
"Marín, José M.; Rahi, Rohit",Universitat Pompeu Fabra; London School of Economics,2000-07-01,The Review of Economic Studies,Information Revelation and Market Incompleteness,67.0,https://academic.oup.com/restud/article/67/3/563/1547501
,,0,0,0,0.0,https://academic.oup.com/restud/article/67/3/581/1547506
"Acemoglu, Daron; Shimer, Robert",Massachusetts Institute of Technology; Princeton University,2000-10-01,The Review of Economic Studies,Wage and Technology Dispersion,67.0,https://academic.oup.com/restud/article/67/4/585/1713567
"Donald, Stephen G.; Green, David A.; Paarsch, Harry J.",University of Texas; University of British Columbia; University of Iowa,2000-10-01,The Review of Economic Studies,Differences in Wage Distributions Between Canada and the United States: An Application of a Flexible Estimator of Distribution Functions in the Presence of Covariates,67.0,https://academic.oup.com/restud/article/67/4/609/1713568
"Gosling, Amanda; Machin, Stephen; Meghir, Costas","Institute for Fiscal Studies ,  University of Essex  and  CEPR; Institute for Fiscal Studies ,  University College London  and  Centre for Economic Performance, LSE; Institute for Fiscal Studies ,  University College London  and  CEPR",2000-10-01,The Review of Economic Studies,The Changing Distribution of Male Wages in the U.K.,67.0,https://academic.oup.com/restud/article/67/4/635/1713569
"Attanasio, Orazio P.","University College London, Institute for Fiscal Studies and NBER",2000-10-01,The Review of Economic Studies,"Consumer Durables and Inertial Behaviour: Estimation and Aggregation of (S, s) Rules for Automobile Purchases",67.0,https://academic.oup.com/restud/article/67/4/667/1713573
"Courty, Pascal; Hao, Li",London Business School; University of Toronto,2000-10-01,The Review of Economic Studies,Sequential Screening,67.0,https://academic.oup.com/restud/article/67/4/697/1713574
"Hellwig, Martin F.",University of Mannheim,2000-10-01,The Review of Economic Studies,Financial Intermediation with Risk Aversion,67.0,https://academic.oup.com/restud/article/67/4/719/1713578
"Matsuyama, Kiminori",Northwestern University,2000-10-01,The Review of Economic Studies,Endogenous Inequality,67.0,https://academic.oup.com/restud/article/67/4/743/1713580
"Morgan, John",Princeton University,2000-10-01,The Review of Economic Studies,Financing Public Goods by Means of Lotteries,67.0,https://academic.oup.com/restud/article/67/4/761/1713582
