Author,Affiliation,Publication Date,Journal Title,Title,Volume,URL
0,,2018/07/01,Games and Economic Behavior,Editorial Board,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300836
0,,2018/07/01,Games and Economic Behavior,Editorial Board,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300848
Haris Aziz; Florian Brandl; Felix Brandt; Markus Brill,"Data61 and UNSW, Australia; TU München, Germany; TU Berlin, Germany",2018/07/01,Games and Economic Behavior,On the tradeoff between efficiency and strategyproofness,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300368
Laurent Mathevet,"Dept. of Economics, New York University, 19 W. 4th Street, 6FL, New York, NY 10012, USA",2018/07/01,Games and Economic Behavior,An axiomatization of plays in repeated games,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300435
José Alcalde,"IUDESP, University of Alicante, Spain",2018/07/01,Games and Economic Behavior,Beyond the Spanish MIR with consent: (Hidden) cooperation and coordination in matching,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300381
Ennio Bilancini; Leonardo Boncinelli,"IMT School of Advanced Studies, Piazza San Francesco 19, 55100 Lucca, Italy; Dipartimento di Scienze per l'Economia e l'Impresa, Università degli Studi di Firenze, Via delle Pandette 9, 50127 Firenze, Italy",2018/07/01,Games and Economic Behavior,Signaling to analogical reasoners who can acquire costly information,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300393
Mustafa Oǧuz Afacan,"Faculty of Arts and Social Sciences, Sabancı University, 34956, İstanbul, Turkey",2018/07/01,Games and Economic Behavior,The object allocation problem with random priorities,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300411
Jan-Henrik Steg,"Center for Mathematical Economics, Bielefeld University, Germany",2018/07/01,Games and Economic Behavior,Preemptive investment under uncertainty,110.0,https://www.sciencedirect.com/science/article/pii/S089982561830040X
Andrés Perea,"EpiCenter and Dept. of Quantitative Economics, Maastricht University, P.O. Box 616, 6200 MD Maastricht, the Netherlands",2018/07/01,Games and Economic Behavior,Why forward induction leads to the backward induction outcome: A new proof for Battigalli's theorem,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300472
Xi Chen; Ilias Diakonikolas; Dimitris Paparas; Xiaorui Sun; Mihalis Yannakakis,"Department of Computer Science, Columbia University, New York, NY 10027, United States of America; Department of Computer Science, University of Southern California, Los Angeles, CA 90089, United States of America; Department of Computer Science, University of Wisconsin-Madison, Madison, WI 53706, United States of America; Simons Institute for the Theory of Computing, University of California at Berkeley, Berkeley, CA 94720, United States of America",2018/07/01,Games and Economic Behavior,The complexity of optimal multidimensional pricing for a unit-demand buyer,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300484
Alessandro Ispano,"THEMA – Université de Cergy-Pontoise, 33 boulevard du Port, 95011 Cergy-Pontoise, France",2018/07/01,Games and Economic Behavior,Information acquisition and the value of bad news,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300447
Ahuva Mu'alem; Michael Schapira,"Computer Science Department, Holon Institute of Technology (HIT), Holon, Israel; School of Computer Science and Engineering, Hebrew University, Jerusalem, Israel",2018/07/01,Games and Economic Behavior,Setting lower bounds on truthfulness,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300186
Lukas M. Wenner,"Department of Economics, University of Cologne, Germany",2018/07/01,Games and Economic Behavior,Do sellers exploit biased beliefs of buyers? An experiment,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300502
Philip Ushchev; Yves Zenou,"National Research University Higher School of Economics, Russian Federation; Monash University, Australia; Southampton University, UK; IFN, Sweden",2018/07/01,Games and Economic Behavior,Price competition in product variety networks,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300496
Dieter Balkenborg,"University of Exeter, Streatham Court, Exeter EX4 4PU, UK",2018/07/01,Games and Economic Behavior,Rationalizability and logical inference,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300617
Derek J. Clark; Tore Nilssen,"School of Business and Economics, UiT - The Arctic University of Norway, NO-9037 Tromsø, Norway; Department of Economics, University of Oslo, P.O. Box 1095 Blindern, NO-0317 Oslo, Norway",2018/07/01,Games and Economic Behavior,Keep on fighting: The dynamics of head starts in all-pay auctions,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300733
Sung-Ha Hwang; Wooyoung Lim; Philip Neary; Jonathan Newton,"Korea Advanced Institute of Science and Technology, Seoul, Republic of Korea; The Hong Kong University of Science and Technology, Hong Kong; Royal Holloway, University of London, England, United Kingdom; Institute of Economic Research, Kyoto University, Japan",2018/07/01,Games and Economic Behavior,"Conventional contracts, intentional behavior and logit choice: Equality without symmetry",110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300708
Yan Chen; Ming Jiang; Onur Kesten; Stéphane Robin; Min Zhu,"School of Information, University of Michigan, 105 South State Street, Ann Arbor, MI 48109-2112, USA; Department of Economics, School of Economics and Management, Tsinghua University, Beijing, 100084, China; Antai College of Economics and Management, Shanghai Jiao Tong University, 1954 Huashan Road, Shanghai, 200030, China; Tepper School of Business, Carnegie Mellon University, PA 15213, USA; Université de Lyon, CNRS, GATE UMR 5824, F-69130 Ecully, France; School of Business, Beijing Normal University, No. 19 Xinjiekouwai Street, Beijing, 100875, China",2018/07/01,Games and Economic Behavior,Matching in the large: An experimental study,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300599
Ned Augenblick; Aaron Bodoh-Creed,,2018/07/01,Games and Economic Behavior,To reveal or not to reveal: Privacy preferences and economic frictions,110.0,https://www.sciencedirect.com/science/article/pii/S0899825617301860
M. Iskakov; A. Iskakov; C. d'Aspremont,"V.A. Trapeznikov Institute of Control Sciences RAS, Ul. Profsoyuznaya 65, Moscow 117997, Russia; CORE, Université catholique de Louvain, Voie du Roman Pays 34, B-1348 Louvain-la-Neuve, Belgium",2018/07/01,Games and Economic Behavior,Games for cautious players: The Equilibrium in Secure Strategies,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300423
John Rehbeck,"Department of Economics, Ohio State University, United States of America",2018/07/01,Games and Economic Behavior,Note on unique Nash equilibrium in continuous games,110.0,https://www.sciencedirect.com/science/article/pii/S0899825618300605
Chiara Margaria; Alex Smolin,"Department of Economics, Boston University, United States; Institute for Microeconomics, University of Bonn, Germany",2018/07/01,Games and Economic Behavior,Dynamic communication with biased senders,110.0,https://www.sciencedirect.com/science/article/pii/S0899825617301896
0,,2018/09/01,Games and Economic Behavior,Editorial Board,111.0,https://www.sciencedirect.com/science/article/pii/S0899825618301301
0,,2018/09/01,Games and Economic Behavior,Editorial Board,111.0,https://www.sciencedirect.com/science/article/pii/S0899825618301313
Martin Bichler; Per Paulsen,,2018/09/01,Games and Economic Behavior,A principal-agent model of bidding firms in multi-unit auctions,111.0,https://www.sciencedirect.com/science/article/pii/S0899825618300800
Victor H. Aguiar; Roland Pongou; Jean-Baptiste Tondji,"Department of Economics, University of Western Ontario, Canada; Department of Economics, University of Ottawa, Canada; Department of Economics and Finance, University of Texas Rio Grande Valley, United States",2018/09/01,Games and Economic Behavior,A non-parametric approach to testing the axioms of the Shapley value with limited data,111.0,https://www.sciencedirect.com/science/article/pii/S0899825618300873
Lining Han; Ruben Juarez,"Economics and Management School, Wuhan University, China; Department of Economics, University of Hawaii, United States of America",2018/09/01,Games and Economic Behavior,Free intermediation in resource transmission,111.0,https://www.sciencedirect.com/science/article/pii/S089982561830109X
Dooseok Jang; Amrish Patel; Martin Dufwenberg,"Korea Advanced Institute of Science and Technology, Republic of Korea; University of East Anglia, United Kingdom; University of Arizona, United States of America; University of Gothenburg, Sweden; CESifo, Germany",2018/09/01,Games and Economic Behavior,Agreements with reciprocity: Co-financing and MOUs,111.0,https://www.sciencedirect.com/science/article/pii/S0899825618301076
Alice Hsiaw,"Brandeis International Business School, 415 South Street, MS 032, Waltham, MA 02453, United States of America",2018/09/01,Games and Economic Behavior,Goal bracketing and self-control,111.0,https://www.sciencedirect.com/science/article/pii/S0899825618301088
Mira Fischer; Dirk Sliwka,"University of Cologne, Albertus-Magnus-Platz, 50923 Cologne, Germany",2018/09/01,Games and Economic Behavior,Confidence in knowledge or confidence in the ability to learn: An experiment on the causal effects of beliefs on motivation,111.0,https://www.sciencedirect.com/science/article/pii/S0899825618300265
Chun-Ting Chen; Chen-Ying Huang; Joseph Tao-yi Wang,"Department of Economics, National Taiwan University, 1 Roosevelt Road, Section 4, Taipei 106, Taiwan",2018/09/01,Games and Economic Behavior,A window of cognition: Eyetracking the reasoning process in spatial beauty contest games,111.0,https://www.sciencedirect.com/science/article/pii/S0899825618300770
Theodoros M. Diasakos; Kostas Koufopoulos,"Economics Division, Stirling Management School, University of Stirling, United Kingdom; University of Leicester School of Business, United Kingdom",2018/09/01,Games and Economic Behavior,(Neutrally) Optimal Mechanism under Adverse Selection: The canonical insurance problem,111.0,https://www.sciencedirect.com/science/article/pii/S0899825618300691
Yuji Fujinaka; Takuma Wakayama,"Faculty of Economics, Kansai University, 3-3-35, Yamate-cho, Suita-shi, Osaka 564-8680, Japan; Faculty of Economics, Ryukoku University, 67 Tsukamoto-cho, Fukakusa, Fushimi-ku, Kyoto 612-8577, Japan",2018/09/01,Games and Economic Behavior,Endowments-swapping-proof house allocation,111.0,https://www.sciencedirect.com/science/article/pii/S0899825618300721
